Index,Date,Time,Readings (%RH),Readings (°C),Type
1,"9/5/2016","3:44:49 PM","29.2","32.6",
2,"9/5/2016","4:44:49 PM","21.7","31.3",
3,"9/5/2016","5:44:49 PM","22.4","30.7",
4,"9/5/2016","6:44:49 PM","26.0","29.7",
5,"9/5/2016","7:44:49 PM","26.9","28.9",
6,"9/5/2016","8:44:49 PM","28.1","28.2",
7,"9/5/2016","9:44:49 PM","28.6","27.6",
8,"9/5/2016","10:44:49 PM","29.9","26.9",
9,"9/5/2016","11:44:49 PM","31.2","26.3",
10,"9/6/2016","12:44:49 AM","32.6","25.7",
11,"9/6/2016","1:44:49 AM","33.9","25.3",
12,"9/6/2016","2:44:49 AM","34.6","24.7",
13,"9/6/2016","3:44:49 AM","34.9","24.1",
14,"9/6/2016","4:44:49 AM","34.6","23.4",
15,"9/6/2016","5:44:49 AM","34.5","22.8",
16,"9/6/2016","6:44:49 AM","34.9","22.3",
17,"9/6/2016","7:44:49 AM","35.0","22.6",
18,"9/6/2016","8:44:49 AM","34.7","23.9",
19,"9/6/2016","9:44:49 AM","33.9","26.2",
20,"9/6/2016","10:44:49 AM","32.0","28.3",
21,"9/6/2016","11:44:49 AM","28.1","30.2",
22,"9/6/2016","12:44:49 PM","24.3","31.4",
23,"9/6/2016","1:44:49 PM","21.8","32.4",
24,"9/6/2016","2:44:49 PM","21.8","32.9",
25,"9/6/2016","3:44:49 PM","20.3","33.0",
26,"9/6/2016","4:44:49 PM","23.3","32.7",
27,"9/6/2016","5:44:49 PM","24.0","31.9",
28,"9/6/2016","6:44:49 PM","25.5","31.2",
29,"9/6/2016","7:44:49 PM","26.6","30.6",
30,"9/6/2016","8:44:49 PM","26.9","29.9",
31,"9/6/2016","9:44:49 PM","28.0","29.3",
32,"9/6/2016","10:44:49 PM","30.3","28.6",
33,"9/6/2016","11:44:49 PM","32.0","27.9",
34,"9/7/2016","12:44:49 AM","33.1","27.2",
35,"9/7/2016","1:44:49 AM","33.5","26.7",
36,"9/7/2016","2:44:49 AM","34.0","26.0",
37,"9/7/2016","3:44:49 AM","34.8","25.3",
38,"9/7/2016","4:44:49 AM","35.6","24.8",
39,"9/7/2016","5:44:49 AM","36.3","24.3",
40,"9/7/2016","6:44:49 AM","36.6","23.8",
41,"9/7/2016","7:44:49 AM","39.7","24.0",
42,"9/7/2016","8:44:49 AM","44.3","25.1",
43,"9/7/2016","9:44:49 AM","40.2","27.2",
44,"9/7/2016","10:44:49 AM","38.2","29.0",
45,"9/7/2016","11:44:49 AM","35.4","30.8",
46,"9/7/2016","12:44:49 PM","31.2","32.0",
47,"9/7/2016","1:44:49 PM","29.9","33.1",
48,"9/7/2016","2:44:49 PM","27.7","33.6",
49,"9/7/2016","3:44:49 PM","25.7","33.5",
50,"9/7/2016","4:44:49 PM","24.1","33.2",
51,"9/7/2016","5:44:49 PM","26.0","32.4",
52,"9/7/2016","6:44:49 PM","30.8","31.4",
53,"9/7/2016","7:44:49 PM","33.6","30.6",
54,"9/7/2016","8:44:49 PM","35.0","29.8",
55,"9/7/2016","9:44:49 PM","35.8","29.1",
56,"9/7/2016","10:44:49 PM","36.5","28.4",
57,"9/7/2016","11:44:49 PM","37.8","27.8",
58,"9/8/2016","12:44:49 AM","37.8","27.3",
59,"9/8/2016","1:44:49 AM","38.7","26.7",
60,"9/8/2016","2:44:49 AM","39.3","26.1",
61,"9/8/2016","3:44:49 AM","38.6","25.6",
62,"9/8/2016","4:44:49 AM","39.2","24.9",
63,"9/8/2016","5:44:49 AM","39.3","24.3",
64,"9/8/2016","6:44:49 AM","40.2","23.8",
65,"9/8/2016","7:44:49 AM","41.3","24.1",
66,"9/8/2016","8:44:49 AM","42.4","25.2",
67,"9/8/2016","9:44:49 AM","41.6","26.9",
68,"9/8/2016","10:44:49 AM","39.9","28.6",
69,"9/8/2016","11:44:49 AM","37.3","30.3",
70,"9/8/2016","12:44:49 PM","33.7","31.4",
71,"9/8/2016","1:44:49 PM","31.2","32.3",
72,"9/8/2016","2:44:49 PM","30.6","33.2",
73,"9/8/2016","3:44:49 PM","29.9","33.4",
74,"9/8/2016","4:44:49 PM","27.6","33.0",
75,"9/8/2016","5:44:49 PM","28.5","32.3",
76,"9/8/2016","6:44:49 PM","31.4","31.6",
77,"9/8/2016","7:44:49 PM","33.5","30.8",
78,"9/8/2016","8:44:49 PM","35.3","30.2",
79,"9/8/2016","9:44:49 PM","36.2","29.6",
80,"9/8/2016","10:44:49 PM","36.8","28.9",
81,"9/8/2016","11:44:49 PM","37.5","28.3",
82,"9/9/2016","12:44:49 AM","38.0","27.7",
83,"9/9/2016","1:44:49 AM","38.4","27.1",
84,"9/9/2016","2:44:49 AM","38.8","26.6",
85,"9/9/2016","3:44:49 AM","39.4","25.9",
86,"9/9/2016","4:44:49 AM","40.1","25.4",
87,"9/9/2016","5:44:49 AM","40.3","24.8",
88,"9/9/2016","6:44:49 AM","39.9","24.3",
89,"9/9/2016","7:44:49 AM","39.7","24.6",
90,"9/9/2016","8:44:49 AM","39.9","25.7",
91,"9/9/2016","9:44:49 AM","40.3","27.3",
92,"9/9/2016","10:44:49 AM","38.5","29.3",
93,"9/9/2016","11:44:49 AM","36.6","30.7",
94,"9/9/2016","12:44:49 PM","35.0","32.3",
95,"9/9/2016","1:44:49 PM","31.1","33.6",
96,"9/9/2016","2:44:49 PM","29.1","34.3",
97,"9/9/2016","3:44:49 PM","28.3","34.6",
98,"9/9/2016","4:44:49 PM","20.9","34.6",
99,"9/9/2016","5:44:49 PM","20.9","34.0",
100,"9/9/2016","6:44:49 PM","26.4","33.0",
101,"9/9/2016","7:44:49 PM","29.8","32.0",
102,"9/9/2016","8:44:49 PM","31.7","31.3",
103,"9/9/2016","9:44:49 PM","33.2","30.7",
104,"9/9/2016","10:44:49 PM","34.1","30.2",
105,"9/9/2016","11:44:49 PM","38.7","29.7",
106,"9/10/2016","12:44:49 AM","41.8","29.0",
107,"9/10/2016","1:44:49 AM","43.5","28.2",
108,"9/10/2016","2:44:49 AM","43.2","27.4",
109,"9/10/2016","3:44:49 AM","43.0","26.7",
110,"9/10/2016","4:44:49 AM","43.8","25.9",
111,"9/10/2016","5:44:49 AM","44.3","25.4",
112,"9/10/2016","6:44:49 AM","44.5","24.8",
113,"9/10/2016","7:44:49 AM","46.0","24.4",
114,"9/10/2016","8:44:49 AM","46.4","24.1",
115,"9/10/2016","9:44:49 AM","47.4","24.1",
116,"9/10/2016","10:44:49 AM","47.2","24.5",
117,"9/10/2016","11:44:49 AM","46.3","25.1",
118,"9/10/2016","12:44:49 PM","45.2","26.0",
119,"9/10/2016","1:44:49 PM","44.2","26.7",
120,"9/10/2016","2:44:49 PM","43.4","27.1",
121,"9/10/2016","3:44:49 PM","43.0","27.3",
122,"9/10/2016","4:44:49 PM","43.0","27.2",
123,"9/10/2016","5:44:49 PM","43.5","26.7",
124,"9/10/2016","6:44:49 PM","44.0","26.1",
125,"9/10/2016","7:44:49 PM","44.5","25.7",
126,"9/10/2016","8:44:49 PM","45.1","25.2",
127,"9/10/2016","9:44:49 PM","46.0","24.7",
128,"9/10/2016","10:44:49 PM","46.6","24.2",
129,"9/10/2016","11:44:49 PM","46.9","23.8",
130,"9/11/2016","12:44:49 AM","46.9","23.4",
131,"9/11/2016","1:44:49 AM","48.4","23.2",
132,"9/11/2016","2:44:49 AM","49.6","22.8",
133,"9/11/2016","3:44:49 AM","50.9","22.5",
134,"9/11/2016","4:44:49 AM","51.7","22.3",
135,"9/11/2016","5:44:49 AM","52.7","22.0",
136,"9/11/2016","6:44:49 AM","52.8","21.8",
137,"9/11/2016","7:44:49 AM","52.9","21.9",
138,"9/11/2016","8:44:49 AM","52.7","22.4",
139,"9/11/2016","9:44:49 AM","52.3","22.9",
140,"9/11/2016","10:44:49 AM","52.0","23.7",
141,"9/11/2016","11:44:49 AM","50.5","24.8",
142,"9/11/2016","12:44:49 PM","47.1","26.2",
143,"9/11/2016","1:44:49 PM","43.9","27.5",
144,"9/11/2016","2:44:49 PM","41.6","28.4",
145,"9/11/2016","3:44:49 PM","40.6","28.8",
146,"9/11/2016","4:44:49 PM","40.1","28.6",
147,"9/11/2016","5:44:49 PM","40.4","27.9",
148,"9/11/2016","6:44:49 PM","42.8","27.3",
