Index,Date,Time,Readings (%RH),Readings (°C),Type
1,"9/6/2016","1:45:31 PM","23.7","35.0",
2,"9/6/2016","2:45:31 PM","19.9","34.2",
3,"9/6/2016","3:45:31 PM","18.4","34.3",
4,"9/6/2016","4:45:31 PM","18.9","34.1",
5,"9/6/2016","5:45:31 PM","18.3","33.3",
6,"9/6/2016","6:45:31 PM","19.9","32.7",
7,"9/6/2016","7:45:31 PM","20.9","31.8",
8,"9/6/2016","8:45:31 PM","23.8","31.1",
9,"9/6/2016","9:45:31 PM","28.0","30.0",
10,"9/6/2016","10:45:31 PM","29.7","29.6",
11,"9/6/2016","11:45:31 PM","30.9","28.8",
12,"9/7/2016","12:45:31 AM","31.5","28.1",
13,"9/7/2016","1:45:31 AM","32.8","27.2",
14,"9/7/2016","2:45:31 AM","34.6","26.3",
15,"9/7/2016","3:45:31 AM","35.8","25.8",
16,"9/7/2016","4:45:31 AM","37.4","25.3",
17,"9/7/2016","5:45:31 AM","39.1","24.6",
18,"9/7/2016","6:45:31 AM","39.1","24.4",
19,"9/7/2016","7:45:31 AM","42.6","25.9",
20,"9/7/2016","8:45:31 AM","38.5","28.0",
21,"9/7/2016","9:45:31 AM","37.2","29.1",
22,"9/7/2016","10:45:31 AM","34.8","30.3",
23,"9/7/2016","11:45:31 AM","32.9","31.3",
24,"9/7/2016","12:45:31 PM","29.4","32.5",
25,"9/7/2016","1:45:31 PM","27.1","33.4",
26,"9/7/2016","2:45:31 PM","23.8","33.8",
27,"9/7/2016","3:45:31 PM","21.9","34.3",
28,"9/7/2016","4:45:31 PM","21.1","34.3",
29,"9/7/2016","5:45:31 PM","21.5","33.8",
30,"9/7/2016","6:45:31 PM","23.4","33.1",
31,"9/7/2016","7:45:31 PM","34.0","32.4",
32,"9/7/2016","8:45:31 PM","32.6","31.9",
33,"9/7/2016","9:45:31 PM","28.1","31.0",
34,"9/7/2016","10:45:31 PM","31.6","30.2",
35,"9/7/2016","11:45:31 PM","33.3","29.2",
36,"9/8/2016","12:45:31 AM","34.8","28.7",
37,"9/8/2016","1:45:31 AM","37.8","27.9",
38,"9/8/2016","2:45:31 AM","39.0","27.0",
39,"9/8/2016","3:45:31 AM","37.0","26.1",
40,"9/8/2016","4:45:31 AM","36.9","25.2",
41,"9/8/2016","5:45:31 AM","36.8","24.3",
42,"9/8/2016","6:45:31 AM","39.6","24.2",
43,"9/8/2016","7:45:31 AM","39.4","25.6",
44,"9/8/2016","8:45:31 AM","40.8","27.3",
45,"9/8/2016","9:45:31 AM","39.0","29.1",
46,"9/8/2016","10:45:31 AM","36.4","30.7",
47,"9/8/2016","11:45:31 AM","33.9","31.7",
48,"9/8/2016","12:45:31 PM","31.1","32.4",
49,"9/8/2016","1:45:31 PM","28.4","33.4",
50,"9/8/2016","2:45:31 PM","27.9","34.1",
51,"9/8/2016","3:45:31 PM","26.4","34.1",
52,"9/8/2016","4:45:31 PM","23.7","33.9",
53,"9/8/2016","5:45:31 PM","25.7","33.3",
54,"9/8/2016","6:45:31 PM","28.1","32.7",
55,"9/8/2016","7:45:31 PM","29.0","32.2",
56,"9/8/2016","8:45:31 PM","31.4","31.6",
57,"9/8/2016","9:45:31 PM","34.9","31.2",
58,"9/8/2016","10:45:31 PM","36.1","30.4",
59,"9/8/2016","11:45:31 PM","36.1","29.8",
60,"9/9/2016","12:45:31 AM","37.8","29.0",
61,"9/9/2016","1:45:31 AM","38.4","28.3",
62,"9/9/2016","2:45:31 AM","39.8","27.6",
63,"9/9/2016","3:45:31 AM","40.8","27.1",
64,"9/9/2016","4:45:31 AM","42.3","26.3",
65,"9/9/2016","5:45:31 AM","43.7","25.6",
66,"9/9/2016","6:45:31 AM","39.5","25.0",
67,"9/9/2016","7:45:31 AM","37.7","26.1",
68,"9/9/2016","8:45:31 AM","37.4","27.3",
69,"9/9/2016","9:45:31 AM","39.0","28.7",
70,"9/9/2016","10:45:31 AM","36.1","30.6",
71,"9/9/2016","11:45:31 AM","32.9","32.2",
72,"9/9/2016","12:45:31 PM","26.5","34.3",
73,"9/9/2016","1:45:31 PM","23.3","35.7",
74,"9/9/2016","2:45:31 PM","21.0","36.6",
75,"9/9/2016","3:45:31 PM","19.8","36.9",
76,"9/9/2016","4:45:31 PM","19.5","36.8",
77,"9/9/2016","5:45:31 PM","21.2","36.1",
78,"9/9/2016","6:45:31 PM","25.6","35.3",
79,"9/9/2016","7:45:31 PM","28.0","34.5",
80,"9/9/2016","8:45:31 PM","28.2","33.6",
81,"9/9/2016","9:45:31 PM","26.8","32.6",
82,"9/9/2016","10:45:31 PM","28.0","31.7",
83,"9/9/2016","11:45:31 PM","44.4","28.8",
84,"9/10/2016","12:45:31 AM","48.6","27.0",
85,"9/10/2016","1:45:31 AM","50.3","26.3",
86,"9/10/2016","2:45:31 AM","48.8","25.2",
87,"9/10/2016","3:45:31 AM","46.7","25.1",
88,"9/10/2016","4:45:31 AM","50.3","23.6",
89,"9/10/2016","5:45:31 AM","49.6","23.6",
90,"9/10/2016","6:45:31 AM","50.3","22.9",
91,"9/10/2016","7:45:31 AM","52.3","22.4",
92,"9/10/2016","8:45:31 AM","53.7","22.4",
93,"9/10/2016","9:45:31 AM","53.8","22.6",
94,"9/10/2016","10:45:31 AM","51.2","23.4",
95,"9/10/2016","11:45:31 AM","49.1","24.1",
96,"9/10/2016","12:45:31 PM","47.1","25.2",
97,"9/10/2016","1:45:31 PM","44.9","26.2",
98,"9/10/2016","2:45:31 PM","44.1","26.5",
99,"9/10/2016","3:45:31 PM","44.2","26.4",
100,"9/10/2016","4:45:31 PM","45.8","25.8",
101,"9/10/2016","5:45:31 PM","47.6","24.7",
102,"9/10/2016","6:45:31 PM","48.9","24.2",
103,"9/10/2016","7:45:31 PM","49.7","23.4",
104,"9/10/2016","8:45:31 PM","51.2","22.7",
105,"9/10/2016","9:45:31 PM","52.4","22.3",
106,"9/10/2016","10:45:31 PM","52.8","22.1",
107,"9/10/2016","11:45:31 PM","53.3","21.9",
108,"9/11/2016","12:45:31 AM","53.5","21.6",
109,"9/11/2016","1:45:31 AM","55.9","21.2",
110,"9/11/2016","2:45:31 AM","57.4","21.4",
