Index,Date,Time,Readings (%RH),Readings (°C),Type
1,"9/6/2016","10:28:57 AM","38.8","33.4",
2,"9/6/2016","11:28:57 AM","25.1","32.8",
3,"9/6/2016","12:28:57 PM","22.4","34.5",
4,"9/6/2016","1:28:57 PM","21.3","35.5",
5,"9/6/2016","2:28:57 PM","18.8","35.5",
6,"9/6/2016","3:28:57 PM","19.3","35.4",
7,"9/6/2016","4:28:57 PM","20.5","34.8",
8,"9/6/2016","5:28:57 PM","20.8","33.6",
9,"9/6/2016","6:28:57 PM","22.4","32.2",
10,"9/6/2016","7:28:57 PM","24.5","31.2",
11,"9/6/2016","8:28:57 PM","27.1","30.3",
12,"9/6/2016","9:28:57 PM","27.9","29.7",
13,"9/6/2016","10:28:57 PM","30.6","29.0",
14,"9/6/2016","11:28:57 PM","31.6","28.3",
15,"9/7/2016","12:28:57 AM","32.0","27.8",
16,"9/7/2016","1:28:57 AM","32.9","27.2",
17,"9/7/2016","2:28:57 AM","34.7","26.7",
18,"9/7/2016","3:28:57 AM","35.8","26.1",
19,"9/7/2016","4:28:57 AM","36.5","25.6",
20,"9/7/2016","5:28:57 AM","37.5","25.1",
21,"9/7/2016","6:28:57 AM","38.0","24.6",
22,"9/7/2016","7:28:57 AM","43.3","24.8",
23,"9/7/2016","8:28:57 AM","43.5","25.9",
24,"9/7/2016","9:28:57 AM","39.4","27.9",
25,"9/7/2016","10:28:57 AM","36.3","30.6",
26,"9/7/2016","11:28:57 AM","32.4","33.3",
27,"9/7/2016","12:28:57 PM","29.3","35.4",
28,"9/7/2016","1:28:57 PM","27.6","36.4",
29,"9/7/2016","2:28:57 PM","22.1","36.1",
30,"9/7/2016","3:28:57 PM","23.6","36.1",
31,"9/7/2016","4:28:57 PM","21.9","35.3",
32,"9/7/2016","5:28:57 PM","24.1","34.0",
33,"9/7/2016","6:28:57 PM","27.0","32.5",
34,"9/7/2016","7:28:57 PM","27.0","31.3",
35,"9/7/2016","8:28:57 PM","27.6","30.6",
36,"9/7/2016","9:28:57 PM","30.4","30.1",
37,"9/7/2016","10:28:57 PM","31.0","29.4",
38,"9/7/2016","11:28:57 PM","33.2","28.8",
39,"9/8/2016","12:28:57 AM","34.1","28.4",
40,"9/8/2016","1:28:57 AM","36.1","27.9",
41,"9/8/2016","2:28:57 AM","37.0","27.3",
42,"9/8/2016","3:28:57 AM","36.1","26.7",
43,"9/8/2016","4:28:57 AM","35.5","25.9",
44,"9/8/2016","5:28:57 AM","35.0","25.2",
45,"9/8/2016","6:28:57 AM","37.6","24.8",
46,"9/8/2016","7:28:57 AM","40.6","25.1",
47,"9/8/2016","8:28:57 AM","42.3","26.1",
48,"9/8/2016","9:28:57 AM","41.5","27.9",
49,"9/8/2016","10:28:57 AM","38.3","29.8",
50,"9/8/2016","11:28:57 AM","34.5","32.0",
51,"9/8/2016","12:28:57 PM","31.5","34.1",
