Index,Date,Time,Readings (%RH),Readings (°C),Type
1,"9/8/2016","9:26:22 AM","40.7","28.4",
2,"9/8/2016","10:26:22 AM","30.0","31.8",
3,"9/8/2016","11:26:22 AM","29.4","34.4",
4,"9/8/2016","12:26:22 PM","29.2","35.6",
5,"9/8/2016","1:26:22 PM","28.6","37.6",
6,"9/8/2016","2:26:22 PM","28.1","39.9",
7,"9/8/2016","3:26:22 PM","27.2","39.9",
8,"9/8/2016","4:26:22 PM","26.4","40.6",
9,"9/8/2016","5:26:22 PM","26.1","38.9",
10,"9/8/2016","6:26:22 PM","27.2","33.5",
11,"9/8/2016","7:26:22 PM","27.4","31.9",
12,"9/8/2016","8:26:22 PM","27.9","30.6",
13,"9/8/2016","9:26:22 PM","28.4","29.4",
14,"9/8/2016","10:26:22 PM","29.0","28.2",
15,"9/8/2016","11:26:22 PM","29.5","27.2",
16,"9/9/2016","12:26:22 AM","29.9","26.3",
17,"9/9/2016","1:26:22 AM","30.3","25.4",
18,"9/9/2016","2:26:22 AM","30.7","24.6",
19,"9/9/2016","3:26:22 AM","31.0","23.8",
20,"9/9/2016","4:26:22 AM","31.4","23.2",
21,"9/9/2016","5:26:22 AM","31.8","22.1",
22,"9/9/2016","6:26:22 AM","31.8","22.5",
23,"9/9/2016","7:26:22 AM","31.9","23.3",
24,"9/9/2016","8:26:22 AM","31.8","25.5",
25,"9/9/2016","9:26:22 AM","31.5","28.3",
26,"9/9/2016","10:26:22 AM","31.3","31.3",
27,"9/9/2016","11:26:22 AM","30.8","34.9",
28,"9/9/2016","12:26:22 PM","30.0","37.1",
29,"9/9/2016","1:26:22 PM","29.0","39.7",
30,"9/9/2016","2:26:22 PM","27.6","41.9",
31,"9/9/2016","3:26:22 PM","26.7","42.4",
32,"9/9/2016","4:26:22 PM","26.3","41.6",
33,"9/9/2016","5:26:22 PM","26.3","38.9",
34,"9/9/2016","6:26:22 PM","26.8","34.7",
35,"9/9/2016","7:26:22 PM","27.0","33.1",
36,"9/9/2016","8:26:22 PM","27.1","31.9",
37,"9/9/2016","9:26:22 PM","27.5","30.6",
38,"9/9/2016","10:26:22 PM","27.9","29.7",
39,"9/9/2016","11:26:22 PM","28.2","29.1",
40,"9/10/2016","12:26:22 AM","28.9","28.2",
41,"9/10/2016","1:26:22 AM","29.8","26.9",
42,"9/10/2016","2:26:22 AM","30.5","26.3",
43,"9/10/2016","3:26:22 AM","31.0","25.6",
