Index,Date,Time,Readings (%RH),Readings (°C),Type
1,"9/8/2016","9:50:24 AM","40.9","29.3",
2,"9/8/2016","10:50:24 AM","32.7","27.2",
3,"9/8/2016","11:50:24 AM","32.4","28.2",
4,"9/8/2016","12:50:24 PM","32.2","29.2",
5,"9/8/2016","1:50:24 PM","32.1","30.1",
6,"9/8/2016","2:50:24 PM","32.0","30.6",
7,"9/8/2016","3:50:24 PM","31.7","30.8",
8,"9/8/2016","4:50:24 PM","31.6","30.9",
9,"9/8/2016","5:50:24 PM","31.5","30.6",
10,"9/8/2016","6:50:24 PM","31.6","30.4",
11,"9/8/2016","7:50:24 PM","31.8","30.1",
12,"9/8/2016","8:50:24 PM","32.0","29.8",
13,"9/8/2016","9:50:24 PM","32.3","29.5",
14,"9/8/2016","10:50:24 PM","32.5","29.1",
15,"9/8/2016","11:50:24 PM","32.7","28.7",
16,"9/9/2016","12:50:24 AM","32.9","28.2",
17,"9/9/2016","1:50:24 AM","33.1","27.6",
18,"9/9/2016","2:50:24 AM","33.2","27.0",
19,"9/9/2016","3:50:24 AM","33.4","26.4",
20,"9/9/2016","4:50:24 AM","33.6","25.6",
21,"9/9/2016","5:50:24 AM","33.8","25.1",
22,"9/9/2016","6:50:24 AM","34.0","24.6",
23,"9/9/2016","7:50:24 AM","34.4","24.8",
24,"9/9/2016","8:50:24 AM","34.5","25.4",
25,"9/9/2016","9:50:24 AM","34.7","26.6",
26,"9/9/2016","10:50:24 AM","34.8","27.7",
27,"9/9/2016","11:50:24 AM","34.6","29.3",
28,"9/9/2016","12:50:24 PM","34.2","30.7",
29,"9/9/2016","1:50:24 PM","33.8","31.7",
30,"9/9/2016","2:50:24 PM","33.2","32.4",
31,"9/9/2016","3:50:24 PM","32.6","32.8",
32,"9/9/2016","4:50:24 PM","32.3","32.9",
33,"9/9/2016","5:50:24 PM","32.1","32.6",
34,"9/9/2016","6:50:24 PM","32.0","32.2",
35,"9/9/2016","7:50:24 PM","32.1","31.8",
36,"9/9/2016","8:50:24 PM","32.1","31.4",
37,"9/9/2016","9:50:24 PM","32.3","31.1",
38,"9/9/2016","10:50:24 PM","32.3","30.8",
39,"9/9/2016","11:50:24 PM","32.5","30.4",
40,"9/10/2016","12:50:24 AM","33.0","29.7",
41,"9/10/2016","1:50:24 AM","33.4","29.2",
42,"9/10/2016","2:50:24 AM","33.8","28.5",
43,"9/10/2016","3:50:24 AM","34.2","27.7",
44,"9/10/2016","4:50:24 AM","34.4","27.0",
45,"9/10/2016","5:50:24 AM","34.7","26.3",
46,"9/10/2016","6:50:24 AM","35.0","25.7",
47,"9/10/2016","7:50:24 AM","35.5","24.4",
48,"9/10/2016","8:50:24 AM","35.8","23.9",
49,"9/10/2016","9:50:24 AM","36.1","23.9",
50,"9/10/2016","10:50:24 AM","36.3","23.9",
51,"9/10/2016","11:50:24 AM","36.5","24.1",
52,"9/10/2016","12:50:24 PM","36.8","24.3",
53,"9/10/2016","1:50:24 PM","36.9","24.3",
54,"9/10/2016","2:50:24 PM","37.0","24.6",
55,"9/10/2016","3:50:24 PM","37.2","24.7",
56,"9/10/2016","4:50:24 PM","37.3","24.6",
57,"9/10/2016","5:50:24 PM","37.5","24.4",
58,"9/10/2016","6:50:24 PM","37.7","24.2",
59,"9/10/2016","7:50:24 PM","37.8","23.9",
60,"9/10/2016","8:50:24 PM","38.0","23.9",
61,"9/10/2016","9:50:24 PM","38.1","23.6",
62,"9/10/2016","10:50:24 PM","38.2","23.3",
63,"9/10/2016","11:50:24 PM","38.4","23.2",
64,"9/11/2016","12:50:24 AM","38.5","22.9",
65,"9/11/2016","1:50:24 AM","38.7","22.7",
66,"9/11/2016","2:50:24 AM","39.0","22.4",
67,"9/11/2016","3:50:24 AM","39.2","22.2",
68,"9/11/2016","4:50:24 AM","39.4","21.9",
69,"9/11/2016","5:50:24 AM","39.6","21.7",
70,"9/11/2016","6:50:24 AM","39.8","21.5",
71,"9/11/2016","7:50:24 AM","40.2","21.1",
72,"9/11/2016","8:50:24 AM","40.7","21.2",
73,"9/11/2016","9:50:24 AM","40.9","21.7",
74,"9/11/2016","10:50:24 AM","41.1","22.2",
75,"9/11/2016","11:50:24 AM","41.3","22.9",
76,"9/11/2016","12:50:24 PM","41.2","23.8",
77,"9/11/2016","1:50:24 PM","41.2","24.7",
78,"9/11/2016","2:50:24 PM","41.0","25.3",
79,"9/11/2016","3:50:24 PM","40.8","25.6",
80,"9/11/2016","4:50:24 PM","40.7","25.7",
81,"9/11/2016","5:50:24 PM","40.5","25.6",
82,"9/11/2016","6:50:24 PM","40.6","25.4",
83,"9/11/2016","7:50:24 PM","40.7","25.4",
84,"9/11/2016","8:50:24 PM","40.7","25.1",
85,"9/11/2016","9:50:24 PM","40.8","25.0",
86,"9/11/2016","10:50:24 PM","41.0","24.7",
87,"9/11/2016","11:50:24 PM","41.1","24.3",
88,"9/12/2016","12:50:24 AM","41.2","23.9",
89,"9/12/2016","1:50:24 AM","41.4","23.6",
90,"9/12/2016","2:50:24 AM","41.5","23.3",
91,"9/12/2016","3:50:24 AM","41.7","22.8",
92,"9/12/2016","4:50:24 AM","41.8","22.4",
93,"9/12/2016","5:50:24 AM","42.0","21.9",
94,"9/12/2016","6:50:24 AM","42.3","21.6",
95,"9/12/2016","7:50:24 AM","42.5","21.8",
96,"9/12/2016","8:50:24 AM","42.8","22.2",
97,"9/12/2016","9:50:24 AM","43.0","23.1",
98,"9/12/2016","10:50:24 AM","43.0","24.0",
99,"9/12/2016","11:50:24 AM","42.8","24.9",
100,"9/12/2016","12:50:24 PM","42.6","25.9",
101,"9/12/2016","1:50:24 PM","42.4","26.9",
102,"9/12/2016","2:50:24 PM","42.0","27.6",
103,"9/12/2016","3:50:24 PM","41.6","27.8",
104,"9/12/2016","4:50:24 PM","41.4","27.9",
105,"9/12/2016","5:50:24 PM","41.0","27.6",
106,"9/12/2016","6:50:24 PM","41.0","27.3",
107,"9/12/2016","7:50:24 PM","41.0","27.2",
108,"9/12/2016","8:50:24 PM","41.0","26.9",
109,"9/12/2016","9:50:24 PM","41.1","26.6",
110,"9/12/2016","10:50:24 PM","41.2","26.3",
111,"9/12/2016","11:50:24 PM","41.3","25.8",
112,"9/13/2016","12:50:24 AM","41.4","25.4",
113,"9/13/2016","1:50:24 AM","41.5","24.9",
114,"9/13/2016","2:50:24 AM","41.5","24.4",
115,"9/13/2016","3:50:24 AM","41.6","23.9",
116,"9/13/2016","4:50:24 AM","41.8","23.3",
117,"9/13/2016","5:50:24 AM","41.9","22.8",
118,"9/13/2016","6:50:24 AM","42.1","22.3",
119,"9/13/2016","7:50:24 AM","42.4","22.8",
120,"9/13/2016","8:50:24 AM","42.4","24.0",
121,"9/13/2016","9:50:24 AM","42.1","25.0",
122,"9/13/2016","10:50:24 AM","41.7","26.1",
123,"9/13/2016","11:50:24 AM","41.3","27.0",
124,"9/13/2016","12:50:24 PM","40.9","28.1",
125,"9/13/2016","1:50:24 PM","40.2","29.0",
126,"9/13/2016","2:50:24 PM","39.7","29.6",
127,"9/13/2016","3:50:24 PM","39.3","29.9",
128,"9/13/2016","4:50:24 PM","39.0","30.0",
129,"9/13/2016","5:50:24 PM","38.9","29.4",
130,"9/13/2016","6:50:24 PM","39.3","28.8",
131,"9/13/2016","7:50:24 PM","39.6","28.0",
132,"9/13/2016","8:50:24 PM","39.9","27.2",
133,"9/13/2016","9:50:24 PM","40.2","26.8",
134,"9/13/2016","10:50:24 PM","40.3","26.2",
135,"9/13/2016","11:50:24 PM","40.5","25.5",
136,"9/14/2016","12:50:24 AM","40.7","25.3",
137,"9/14/2016","1:50:24 AM","40.9","24.7",
138,"9/14/2016","2:50:24 AM","41.0","24.2",
139,"9/14/2016","3:50:24 AM","41.2","23.8",
140,"9/14/2016","4:50:24 AM","41.4","23.1",
141,"9/14/2016","5:50:24 AM","41.7","22.4",
142,"9/14/2016","6:50:24 AM","41.9","22.0",
143,"9/14/2016","7:50:24 AM","42.2","21.6",
144,"9/14/2016","8:50:24 AM","42.5","21.6",
145,"9/14/2016","9:50:24 AM","42.5","22.6",
146,"9/14/2016","10:50:24 AM","42.7","22.8",
147,"9/14/2016","11:50:24 AM","42.7","23.2",
148,"9/14/2016","12:50:24 PM","43.0","24.2",
149,"9/14/2016","1:50:24 PM","42.8","24.6",
150,"9/14/2016","2:50:24 PM","42.9","25.0",
