Index	Date	Time	Readings (%RH)	Readings (�C)	Type
103	9/12/2016	4:09:57 PM	37.5	29.9	
104	9/12/2016	5:09:57 PM	36.3	29.0	
105	9/12/2016	6:09:57 PM	35.3	28.3	
106	9/12/2016	7:09:57 PM	37.8	27.6	
107	9/12/2016	8:09:57 PM	41.1	26.9	
108	9/12/2016	9:09:57 PM	40.4	25.9	
109	9/12/2016	10:09:57 PM	40.0	24.3	
110	9/12/2016	11:09:57 PM	40.2	23.7	
111	9/13/2016	12:09:57 AM	41.3	22.4	
112	9/13/2016	1:09:57 AM	42.2	21.9	
113	9/13/2016	2:09:57 AM	43.1	21.7	
114	9/13/2016	3:09:57 AM	45.1	21.2	
115	9/13/2016	4:09:57 AM	46.7	20.2	
116	9/13/2016	5:09:57 AM	47.1	20.0	
117	9/13/2016	6:09:57 AM	49.9	18.9	
118	9/13/2016	7:09:57 AM	50.4	19.6	
119	9/13/2016	8:09:57 AM	48.4	21.2	
120	9/13/2016	9:09:57 AM	46.3	23.4	
121	9/13/2016	10:09:57 AM	37.5	25.8	
122	9/13/2016	11:09:57 AM	33.6	28.6	
123	9/13/2016	12:09:57 PM	27.9	30.2	
124	9/13/2016	1:09:57 PM	26.0	31.7	
125	9/13/2016	2:09:57 PM	25.8	31.7	
126	9/13/2016	3:09:57 PM	24.5	33.1	
127	9/13/2016	4:09:57 PM	24.9	32.8	
128	9/13/2016	5:09:57 PM	27.6	31.4	
129	9/13/2016	6:09:57 PM	43.7	28.0	
130	9/13/2016	7:09:57 PM	48.5	25.8	
131	9/13/2016	8:09:57 PM	52.5	23.9	
132	9/13/2016	9:09:57 PM	53.7	23.1	
133	9/13/2016	10:09:57 PM	55.8	22.4	
134	9/13/2016	11:09:57 PM	56.2	21.6	
135	9/14/2016	12:09:57 AM	55.9	20.8	
136	9/14/2016	1:09:57 AM	54.4	20.9	
137	9/14/2016	2:09:57 AM	56.7	20.4	
138	9/14/2016	3:09:57 AM	57.7	20.2	
139	9/14/2016	4:09:57 AM	58.9	19.8	
140	9/14/2016	5:09:57 AM	58.0	19.9	
141	9/14/2016	6:09:57 AM	60.7	19.5	
142	9/14/2016	7:09:57 AM	60.3	19.6	
143	9/14/2016	8:09:57 AM	59.1	19.8	
144	9/14/2016	9:09:57 AM	58.8	20.6	
145	9/14/2016	10:09:57 AM	54.7	22.3	
146	9/14/2016	11:09:57 AM	54.3	23.2	
147	9/14/2016	12:09:57 PM	53.1	23.6	
148	9/14/2016	1:09:57 PM	49.4	24.8	
149	9/14/2016	2:09:57 PM	46.9	25.4	
150	9/14/2016	3:09:57 PM	45.7	26.2	
151	9/14/2016	4:09:57 PM	40.8	27.2	
152	9/14/2016	5:09:57 PM	41.9	26.7	
153	9/14/2016	6:09:57 PM	44.4	26.0	
154	9/14/2016	7:09:57 PM	46.6	25.3	
155	9/14/2016	8:09:57 PM	48.7	24.8	
156	9/14/2016	9:09:57 PM	47.8	24.2	
157	9/14/2016	10:09:57 PM	47.1	23.3	
158	9/14/2016	11:09:57 PM	47.7	22.4	
159	9/15/2016	12:09:57 AM	48.8	21.8	
160	9/15/2016	1:09:57 AM	49.7	21.2	
161	9/15/2016	2:09:57 AM	50.2	20.9	
162	9/15/2016	3:09:57 AM	52.1	21.1	
163	9/15/2016	4:09:57 AM	54.5	20.8	
164	9/15/2016	5:09:57 AM	53.5	21.3	
165	9/15/2016	6:09:57 AM	54.7	21.6	
166	9/15/2016	7:09:57 AM	55.5	22.0	
167	9/15/2016	8:09:57 AM	57.6	22.3	
168	9/15/2016	9:09:57 AM	61.0	22.8	
169	9/15/2016	10:09:57 AM	58.3	23.8	
170	9/15/2016	11:09:57 AM	54.2	25.3	
171	9/15/2016	12:09:57 PM	49.4	27.2	
172	9/15/2016	1:09:57 PM	45.0	28.4	
173	9/15/2016	2:09:57 PM	43.5	29.4	
174	9/15/2016	3:09:57 PM	41.3	29.9	
175	9/15/2016	4:09:57 PM	34.1	30.9	
176	9/15/2016	5:09:57 PM	32.7	30.4	
177	9/15/2016	6:09:57 PM	35.9	29.5	
178	9/15/2016	7:09:57 PM	36.4	28.7	
179	9/15/2016	8:09:57 PM	39.6	28.0	
180	9/15/2016	9:09:57 PM	40.6	26.9	
181	9/15/2016	10:09:57 PM	39.8	26.1	
182	9/15/2016	11:09:57 PM	40.8	25.3	
183	9/16/2016	12:09:57 AM	42.1	25.3	
184	9/16/2016	1:09:57 AM	42.0	24.1	
185	9/16/2016	2:09:57 AM	43.2	23.0	
186	9/16/2016	3:09:57 AM	44.4	21.9	
187	9/16/2016	4:09:57 AM	45.4	21.5	
188	9/16/2016	5:09:57 AM	46.6	21.1	
189	9/16/2016	6:09:57 AM	48.7	20.7	
190	9/16/2016	7:09:57 AM	49.6	20.7	
191	9/16/2016	8:09:57 AM	50.4	22.4	
192	9/16/2016	9:09:57 AM	47.5	24.3	
193	9/16/2016	10:09:57 AM	45.8	26.0	
194	9/16/2016	11:09:57 AM	39.0	28.4	
195	9/16/2016	12:09:57 PM	34.0	30.4	
196	9/16/2016	1:09:57 PM	29.6	32.6	
197	9/16/2016	2:09:57 PM	23.6	33.8	
198	9/16/2016	3:09:57 PM	21.5	34.4	
199	9/16/2016	4:09:57 PM	20.2	34.9	
200	9/16/2016	5:09:57 PM	20.6	34.2	
201	9/16/2016	6:09:57 PM	24.2	33.2	
202	9/16/2016	7:09:57 PM	25.8	32.1	
203	9/16/2016	8:09:57 PM	25.5	31.2	
204	9/16/2016	9:09:57 PM	25.3	30.3	
205	9/16/2016	10:09:57 PM	24.9	29.6	
206	9/16/2016	11:09:57 PM	24.9	29.1	
207	9/17/2016	12:09:57 AM	24.5	28.3	
208	9/17/2016	1:09:57 AM	24.8	27.6	
209	9/17/2016	2:09:57 AM	24.9	26.9	
210	9/17/2016	3:09:57 AM	25.7	26.1	
211	9/17/2016	4:09:57 AM	27.6	24.3	
212	9/17/2016	5:09:57 AM	29.2	24.6	
213	9/17/2016	6:09:57 AM	31.7	22.9	
214	9/17/2016	7:09:57 AM	32.9	23.6	
215	9/17/2016	8:09:57 AM	36.6	25.0	
216	9/17/2016	9:09:57 AM	37.0	26.7	
217	9/17/2016	10:09:57 AM	36.1	27.8	
218	9/17/2016	11:09:57 AM	33.0	29.6	
219	9/17/2016	12:09:57 PM	33.4	29.7	
220	9/17/2016	1:09:57 PM	33.8	30.3	
221	9/17/2016	2:09:57 PM	34.6	31.0	
222	9/17/2016	3:09:57 PM	34.7	31.2	
223	9/17/2016	4:09:57 PM	37.1	30.6	
224	9/17/2016	5:09:57 PM	40.4	28.8	
225	9/17/2016	6:09:57 PM	41.9	27.7	
226	9/17/2016	7:09:57 PM	43.6	26.6	
227	9/17/2016	8:09:57 PM	45.3	25.8	
228	9/17/2016	9:09:57 PM	44.2	24.6	
229	9/17/2016	10:09:57 PM	44.3	23.3	
230	9/17/2016	11:09:57 PM	46.0	22.6	
231	9/18/2016	12:09:57 AM	48.1	22.1	
232	9/18/2016	1:09:57 AM	51.8	21.3	
233	9/18/2016	2:09:57 AM	56.8	20.1	
234	9/18/2016	3:09:57 AM	57.3	19.2	
235	9/18/2016	4:09:57 AM	57.2	19.1	
236	9/18/2016	5:09:57 AM	58.3	19.0	
237	9/18/2016	6:09:57 AM	59.2	18.7	
238	9/18/2016	7:09:57 AM	58.4	18.5	
