Index,Date,Time,Readings (%RH),Readings (°C),Type
1,"9/8/2016","12:31:40 PM","37.2","35.6",
2,"9/8/2016","1:31:40 PM","33.3","31.1",
3,"9/8/2016","2:31:40 PM","31.3","32.1",
4,"9/8/2016","3:31:40 PM","27.4","32.8",
5,"9/8/2016","4:31:40 PM","24.8","32.8",
6,"9/8/2016","5:31:40 PM","28.1","31.6",
7,"9/8/2016","6:31:40 PM","32.0","30.3",
8,"9/8/2016","7:31:40 PM","38.2","29.4",
9,"9/8/2016","8:31:40 PM","36.6","28.6",
10,"9/8/2016","9:31:40 PM","36.8","27.8",
11,"9/8/2016","10:31:40 PM","36.7","26.9",
12,"9/8/2016","11:31:40 PM","37.2","26.2",
13,"9/9/2016","12:31:40 AM","38.0","25.5",
14,"9/9/2016","1:31:40 AM","38.6","24.8",
15,"9/9/2016","2:31:40 AM","38.9","24.2",
16,"9/9/2016","3:31:40 AM","39.5","23.5",
17,"9/9/2016","4:31:40 AM","40.0","22.9",
18,"9/9/2016","5:31:40 AM","41.5","22.4",
19,"9/9/2016","6:31:40 AM","43.7","22.1",
20,"9/9/2016","7:31:40 AM","42.3","22.7",
21,"9/9/2016","8:31:40 AM","42.6","23.9",
22,"9/9/2016","9:31:40 AM","44.6","25.3",
23,"9/9/2016","10:31:40 AM","41.5","26.9",
24,"9/9/2016","11:31:40 AM","36.8","28.9",
25,"9/9/2016","12:31:40 PM","32.4","30.7",
26,"9/9/2016","1:31:40 PM","30.0","32.1",
27,"9/9/2016","2:31:40 PM","27.5","33.2",
28,"9/9/2016","3:31:40 PM","25.8","34.0",
29,"9/9/2016","4:31:40 PM","23.2","34.1",
30,"9/9/2016","5:31:40 PM","23.7","33.2",
31,"9/9/2016","6:31:40 PM","26.7","31.8",
32,"9/9/2016","7:31:40 PM","29.4","30.7",
33,"9/9/2016","8:31:40 PM","30.6","29.8",
34,"9/9/2016","9:31:40 PM","33.3","29.1",
35,"9/9/2016","10:31:40 PM","33.4","28.3",
