Index,Date,Time,RH,Temp,Number
104,9/11/2016,5:12:00 PM,42.1,26.6,1010060497
105,9/11/2016,6:12:00 PM,42.2,26.3,1010060497
106,9/11/2016,7:12:00 PM,42.2,25.9,1010060497
107,9/11/2016,8:12:00 PM,42.4,25.7,1010060497
108,9/11/2016,9:12:00 PM,42.4,25.5,1010060497
109,9/11/2016,10:12:00 PM,42.5,25.2,1010060497
110,9/11/2016,11:12:00 PM,42.6,25,1010060497
111,9/12/2016,12:12:00 AM,42.5,24.8,1010060497
112,9/12/2016,1:12:00 AM,42.4,24.5,1010060497
113,9/12/2016,2:12:00 AM,44.3,24.3,1010060497
114,9/12/2016,3:12:00 AM,46.5,24.2,1010060497
115,9/12/2016,4:12:00 AM,48,24.1,1010060497
116,9/12/2016,5:12:00 AM,49.2,23.9,1010060497
117,9/12/2016,6:12:00 AM,52.4,23.7,1010060497
118,9/12/2016,7:12:00 AM,54.9,23.5,1010060497
119,9/12/2016,8:12:00 AM,54.5,23.6,1010060497
120,9/12/2016,9:12:00 AM,54.5,23.8,1010060497
121,9/12/2016,10:12:00 AM,53.3,24.2,1010060497
122,9/12/2016,11:12:00 AM,50.6,24.9,1010060497
123,9/12/2016,12:12:00 PM,46.4,25.8,1010060497
124,9/12/2016,1:12:00 PM,42.3,26.6,1010060497
125,9/12/2016,2:12:00 PM,39.4,27.2,1010060497
126,9/12/2016,3:12:00 PM,37.3,27.7,1010060497
127,9/12/2016,4:12:00 PM,36,27.9,1010060497
128,9/12/2016,5:12:00 PM,34.9,27.8,1010060497
129,9/12/2016,6:12:00 PM,34.8,27.4,1010060497
130,9/12/2016,7:12:00 PM,37.1,26.8,1010060497
131,9/12/2016,8:12:00 PM,37.9,26.5,1010060497
132,9/12/2016,9:12:00 PM,38,26.2,1010060497
133,9/12/2016,10:12:00 PM,38.3,25.9,1010060497
134,9/12/2016,11:12:00 PM,38.4,25.6,1010060497
135,9/13/2016,12:12:00 AM,38.6,25.3,1010060497
136,9/13/2016,1:12:00 AM,38.7,25,1010060497
137,9/13/2016,2:12:00 AM,39,24.8,1010060497
138,9/13/2016,3:12:00 AM,39.3,24.5,1010060497
139,9/13/2016,4:12:00 AM,39.3,24.2,1010060497
140,9/13/2016,5:12:00 AM,39.5,23.9,1010060497
141,9/13/2016,6:12:00 AM,40.3,23.6,1010060497
142,9/13/2016,7:12:00 AM,41,23.3,1010060497
