Index,Date,Time,Readings (%RH),Readings (°C),Type
1,"9/5/2016","3:19:09 PM","30.2","32.1",
2,"9/5/2016","4:19:09 PM","22.5","30.8",
3,"9/5/2016","5:19:09 PM","21.9","30.7",
4,"9/5/2016","6:19:09 PM","28.4","31.1",
5,"9/5/2016","7:19:09 PM","31.1","31.3",
6,"9/5/2016","8:19:09 PM","27.7","31.0",
7,"9/5/2016","9:19:09 PM","30.4","29.3",
8,"9/5/2016","10:19:09 PM","30.0","28.3",
9,"9/5/2016","11:19:09 PM","31.0","27.4",
10,"9/6/2016","12:19:09 AM","32.2","26.8",
11,"9/6/2016","1:19:09 AM","34.1","26.3",
12,"9/6/2016","2:19:09 AM","35.5","25.7",
13,"9/6/2016","3:19:09 AM","35.4","24.8",
14,"9/6/2016","4:19:09 AM","34.6","24.3",
15,"9/6/2016","5:19:09 AM","34.2","23.8",
16,"9/6/2016","6:19:09 AM","34.6","23.1",
17,"9/6/2016","7:19:09 AM","34.0","23.1",
18,"9/6/2016","8:19:09 AM","32.9","23.8",
19,"9/6/2016","9:19:09 AM","33.4","25.2",
20,"9/6/2016","10:19:09 AM","32.8","27.0",
21,"9/6/2016","11:19:09 AM","31.6","28.1",
22,"9/6/2016","12:19:09 PM","23.7","28.9",
23,"9/6/2016","1:19:09 PM","22.4","30.0",
24,"9/6/2016","2:19:09 PM","22.0","30.9",
25,"9/6/2016","3:19:09 PM","20.8","31.8",
26,"9/6/2016","4:19:09 PM","21.2","31.8",
27,"9/6/2016","5:19:09 PM","20.8","31.7",
28,"9/6/2016","6:19:09 PM","21.8","32.1",
29,"9/6/2016","7:19:09 PM","23.0","32.4",
30,"9/6/2016","8:19:09 PM","26.8","32.4",
31,"9/6/2016","9:19:09 PM","24.8","31.1",
32,"9/6/2016","10:19:09 PM","28.1","29.9",
33,"9/6/2016","11:19:09 PM","30.0","28.9",
34,"9/7/2016","12:19:09 AM","30.8","28.3",
35,"9/7/2016","1:19:09 AM","31.7","27.6",
36,"9/7/2016","2:19:09 AM","32.2","26.9",
37,"9/7/2016","3:19:09 AM","32.5","26.1",
38,"9/7/2016","4:19:09 AM","33.9","25.7",
39,"9/7/2016","5:19:09 AM","34.8","25.2",
40,"9/7/2016","6:19:09 AM","35.4","24.7",
41,"9/7/2016","7:19:09 AM","42.8","24.6",
42,"9/7/2016","8:19:09 AM","41.5","25.3",
43,"9/7/2016","9:19:09 AM","40.8","26.5",
44,"9/7/2016","10:19:09 AM","39.3","27.4",
45,"9/7/2016","11:19:09 AM","36.8","28.9",
46,"9/7/2016","12:19:09 PM","32.5","29.8",
47,"9/7/2016","1:19:09 PM","30.0","30.7",
48,"9/7/2016","2:19:09 PM","28.7","32.2",
49,"9/7/2016","3:19:09 PM","26.1","32.2",
50,"9/7/2016","4:19:09 PM","24.0","32.3",
51,"9/7/2016","5:19:09 PM","23.5","32.2",
52,"9/7/2016","6:19:09 PM","27.2","32.8",
53,"9/7/2016","7:19:09 PM","30.3","33.0",
54,"9/7/2016","8:19:09 PM","27.8","32.7",
55,"9/7/2016","9:19:09 PM","27.5","32.1",
56,"9/7/2016","10:19:09 PM","31.2","30.8",
57,"9/7/2016","11:19:09 PM","32.3","29.3",
58,"9/8/2016","12:19:09 AM","33.0","28.5",
59,"9/8/2016","1:19:09 AM","33.3","27.8",
60,"9/8/2016","2:19:09 AM","34.9","27.1",
61,"9/8/2016","3:19:09 AM","34.7","26.3",
62,"9/8/2016","4:19:09 AM","34.9","25.6",
63,"9/8/2016","5:19:09 AM","34.1","25.1",
64,"9/8/2016","6:19:09 AM","32.1","26.2",
65,"9/8/2016","7:19:09 AM","39.0","25.3",
66,"9/8/2016","8:19:09 AM","40.2","25.7",
67,"9/8/2016","9:19:09 AM","42.3","26.5",
68,"9/8/2016","10:19:09 AM","42.2","27.4",
69,"9/8/2016","11:19:09 AM","39.2","28.6",
70,"9/8/2016","12:19:09 PM","36.3","30.1",
71,"9/8/2016","1:19:09 PM","34.3","30.9",
72,"9/8/2016","2:19:09 PM","31.9","32.2",
73,"9/8/2016","3:19:09 PM","29.7","32.2",
74,"9/8/2016","4:19:09 PM","27.0","32.4",
75,"9/8/2016","5:19:09 PM","27.8","32.4",
76,"9/8/2016","6:19:09 PM","30.1","31.6",
77,"9/8/2016","7:19:09 PM","34.6","32.9",
78,"9/8/2016","8:19:09 PM","30.6","32.8",
79,"9/8/2016","9:19:09 PM","30.3","32.5",
80,"9/8/2016","10:19:09 PM","34.4","30.8",
81,"9/8/2016","11:19:09 PM","34.3","29.8",
82,"9/9/2016","12:19:09 AM","35.0","28.9",
83,"9/9/2016","1:19:09 AM","35.8","28.3",
84,"9/9/2016","2:19:09 AM","36.1","27.6",
85,"9/9/2016","3:19:09 AM","36.6","27.0",
86,"9/9/2016","4:19:09 AM","37.4","26.4",
87,"9/9/2016","5:19:09 AM","38.0","25.8",
88,"9/9/2016","6:19:09 AM","35.1","26.8",
89,"9/9/2016","7:19:09 AM","33.9","26.8",
90,"9/9/2016","8:19:09 AM","36.8","26.5",
91,"9/9/2016","9:19:09 AM","38.6","27.0",
92,"9/9/2016","10:19:09 AM","39.5","28.4",
93,"9/9/2016","11:19:09 AM","38.1","29.2",
94,"9/9/2016","12:19:09 PM","35.9","30.7",
95,"9/9/2016","1:19:09 PM","31.2","31.8",
96,"9/9/2016","2:19:09 PM","25.8","33.2",
97,"9/9/2016","3:19:09 PM","22.8","33.7",
98,"9/9/2016","4:19:09 PM","24.7","33.8",
99,"9/9/2016","5:19:09 PM","23.1","33.7",
100,"9/9/2016","6:19:09 PM","27.1","34.4",
101,"9/9/2016","7:19:09 PM","35.0","34.2",
102,"9/9/2016","8:19:09 PM","32.0","34.1",
103,"9/9/2016","9:19:09 PM","28.9","33.7",
104,"9/9/2016","10:19:09 PM","31.7","32.1",
105,"9/9/2016","11:19:09 PM","37.3","31.2",
106,"9/10/2016","12:19:09 AM","43.3","29.9",
107,"9/10/2016","1:19:09 AM","44.6","29.0",
108,"9/10/2016","2:19:09 AM","43.9","28.3",
109,"9/10/2016","3:19:09 AM","42.1","27.6",
110,"9/10/2016","4:19:09 AM","42.7","26.8",
111,"9/10/2016","5:19:09 AM","43.8","26.4",
112,"9/10/2016","6:19:09 AM","43.9","25.9",
113,"9/10/2016","7:19:09 AM","45.1","25.4",
114,"9/10/2016","8:19:09 AM","46.4","25.2",
115,"9/10/2016","9:19:09 AM","46.9","24.8",
116,"9/10/2016","10:19:09 AM","46.3","25.1",
117,"9/10/2016","11:19:09 AM","45.2","25.6",
118,"9/10/2016","12:19:09 PM","43.5","26.1",
119,"9/10/2016","1:19:09 PM","43.0","26.7",
120,"9/10/2016","2:19:09 PM","42.6","26.9",
121,"9/10/2016","3:19:09 PM","42.4","27.1",
122,"9/10/2016","4:19:09 PM","42.4","27.1",
123,"9/10/2016","5:19:09 PM","43.0","26.8",
124,"9/10/2016","6:19:09 PM","43.3","26.3",
125,"9/10/2016","7:19:09 PM","41.7","27.1",
126,"9/10/2016","8:19:09 PM","40.8","27.4",
127,"9/10/2016","9:19:09 PM","40.7","27.3",
128,"9/10/2016","10:19:09 PM","43.0","26.3",
129,"9/10/2016","11:19:09 PM","45.7","24.9",
130,"9/11/2016","12:19:09 AM","46.6","24.7",
131,"9/11/2016","1:19:09 AM","48.1","24.1",
