Index,Date,Time,RH,Temp,Number
1,9/7/2016,9:17:32 AM,39.4,28.8,1010060496
2,9/7/2016,10:17:32 AM,35.3,29.6,1010060496
3,9/7/2016,11:17:32 AM,31.7,31.1,1010060496
4,9/7/2016,12:17:32 PM,28.3,32.1,1010060496
5,9/7/2016,1:17:32 PM,25.5,33.2,1010060496
6,9/7/2016,2:17:32 PM,23,33.6,1010060496
7,9/7/2016,3:17:32 PM,23.3,33.2,1010060496
8,9/7/2016,4:17:32 PM,22,32.6,1010060496
9,9/7/2016,5:17:32 PM,22.9,31.1,1010060496
10,9/7/2016,6:17:32 PM,25.3,28.7,1010060496
11,9/7/2016,7:17:32 PM,26.5,27.3,1010060496
12,9/7/2016,8:17:32 PM,28.4,26.1,1010060496
13,9/7/2016,9:17:32 PM,30.1,25.2,1010060496
14,9/7/2016,10:17:32 PM,30.9,24.3,1010060496
15,9/7/2016,11:17:32 PM,32.5,23.7,1010060496
16,9/8/2016,12:17:32 AM,32.9,23.6,1010060496
17,9/8/2016,1:17:32 AM,33.9,22.9,1010060496
18,9/8/2016,2:17:32 AM,36.4,22.7,1010060496
19,9/8/2016,3:17:32 AM,38,22.1,1010060496
20,9/8/2016,4:17:32 AM,36.8,21.2,1010060496
21,9/8/2016,5:17:32 AM,37.7,20.8,1010060496
22,9/8/2016,6:17:32 AM,38.5,19.9,1010060496
23,9/8/2016,7:17:32 AM,36.7,21.6,1010060496
24,9/8/2016,8:17:32 AM,43.7,24.2,1010060496
25,9/8/2016,9:17:32 AM,44,26.4,1010060496
26,9/8/2016,10:17:32 AM,39.2,28.7,1010060496
27,9/8/2016,11:17:32 AM,35.1,30.5,1010060496
28,9/8/2016,12:17:32 PM,32.3,32,1010060496
29,9/8/2016,1:17:32 PM,29,32.9,1010060496
30,9/8/2016,2:17:32 PM,27.4,33.4,1010060496
31,9/8/2016,3:17:32 PM,26.2,33.3,1010060496
32,9/8/2016,4:17:32 PM,23.9,32.7,1010060496
33,9/8/2016,5:17:32 PM,26.7,31.3,1010060496
34,9/8/2016,6:17:32 PM,31.4,29.3,1010060496
35,9/8/2016,7:17:32 PM,33.1,28.1,1010060496
36,9/8/2016,8:17:32 PM,34.9,27.6,1010060496
37,9/8/2016,9:17:32 PM,36.4,26.3,1010060496
38,9/8/2016,10:17:32 PM,37,25.7,1010060496
39,9/8/2016,11:17:32 PM,38.3,24.8,1010060496
40,9/9/2016,12:17:32 AM,38.9,24.3,1010060496
41,9/9/2016,1:17:32 AM,40,23.6,1010060496
42,9/9/2016,2:17:32 AM,40.6,23.1,1010060496
43,9/9/2016,3:17:32 AM,43.4,22.7,1010060496
44,9/9/2016,4:17:32 AM,43.1,22.2,1010060496
45,9/9/2016,5:17:32 AM,44.5,21.6,1010060496
46,9/9/2016,6:17:32 AM,45,21,1010060496
47,9/9/2016,7:17:32 AM,42.3,22.5,1010060496
48,9/9/2016,8:17:32 AM,39.3,24.9,1010060496
49,9/9/2016,9:17:32 AM,38.9,27.7,1010060496
50,9/9/2016,10:17:32 AM,35.9,30.1,1010060496
51,9/9/2016,11:17:32 AM,32.8,32.3,1010060496
52,9/9/2016,12:17:32 PM,27.3,34.6,1010060496
53,9/9/2016,1:17:32 PM,20.9,36.1,1010060496
54,9/9/2016,2:17:32 PM,18.9,36.6,1010060496
55,9/9/2016,3:17:32 PM,17,36.5,1010060496
56,9/9/2016,4:17:32 PM,18.1,35.9,1010060496
57,9/9/2016,5:17:32 PM,18.8,34.3,1010060496
58,9/9/2016,6:17:32 PM,21.6,31.8,1010060496
59,9/9/2016,7:17:32 PM,23.7,30.2,1010060496
60,9/9/2016,8:17:32 PM,25.2,28.9,1010060496
61,9/9/2016,9:17:32 PM,26.2,28.2,1010060496
62,9/9/2016,10:17:32 PM,27.8,27.6,1010060496
63,9/9/2016,11:17:32 PM,41,27.6,1010060496
64,9/10/2016,12:17:32 AM,60.3,24.1,1010060496
65,9/10/2016,1:17:32 AM,62.3,23,1010060496
66,9/10/2016,2:17:32 AM,60.5,22.4,1010060496
67,9/10/2016,3:17:32 AM,57.4,21.7,1010060496
68,9/10/2016,4:17:32 AM,58.5,21.2,1010060496
69,9/10/2016,5:17:32 AM,60.8,20.9,1010060496
70,9/10/2016,6:17:32 AM,59.5,20.5,1010060496
71,9/10/2016,7:17:32 AM,60.9,20.3,1010060496
72,9/10/2016,8:17:32 AM,60.3,20.6,1010060496
73,9/10/2016,9:17:32 AM,59,21.1,1010060496
74,9/10/2016,10:17:32 AM,54.7,22.5,1010060496
75,9/10/2016,11:17:32 AM,50.9,23.8,1010060496
76,9/10/2016,12:17:32 PM,45.8,25.9,1010060496
77,9/10/2016,1:17:32 PM,44.9,26.3,1010060496
78,9/10/2016,2:17:32 PM,44.1,26.7,1010060496
79,9/10/2016,3:17:32 PM,45,26.3,1010060496
80,9/10/2016,4:17:32 PM,47.3,25.3,1010060496
81,9/10/2016,5:17:32 PM,49.8,24.3,1010060496
82,9/10/2016,6:17:32 PM,51.8,23.2,1010060496
83,9/10/2016,7:17:32 PM,53.1,22.4,1010060496
84,9/10/2016,8:17:32 PM,53.6,22.1,1010060496
85,9/10/2016,9:17:32 PM,55.4,21.5,1010060496
86,9/10/2016,10:17:32 PM,58,20.8,1010060496
87,9/10/2016,11:17:32 PM,59.9,20.3,1010060496
88,9/11/2016,12:17:32 AM,59,20.6,1010060496
89,9/11/2016,1:17:32 AM,60.7,20.2,1010060496
90,9/11/2016,2:17:32 AM,64.3,19.8,1010060496
91,9/11/2016,3:17:32 AM,66.3,19.7,1010060496
92,9/11/2016,4:17:32 AM,67.7,19.4,1010060496
93,9/11/2016,5:17:32 AM,67.9,19.4,1010060496
94,9/11/2016,6:17:32 AM,68.1,19.4,1010060496
95,9/11/2016,7:17:32 AM,67.8,19.6,1010060496
96,9/11/2016,8:17:32 AM,64.1,20.8,1010060496
97,9/11/2016,9:17:32 AM,61.3,21.9,1010060496
98,9/11/2016,10:17:32 AM,59.4,22.7,1010060496
99,9/11/2016,11:17:32 AM,52.1,25.1,1010060496
100,9/11/2016,12:17:32 PM,48.2,26.2,1010060496
101,9/11/2016,1:17:32 PM,42,27.6,1010060496
102,9/11/2016,2:17:32 PM,39.7,28.2,1010060496
103,9/11/2016,3:17:32 PM,38.8,28.4,1010060496
104,9/11/2016,4:17:32 PM,38.7,27.9,1010060496
105,9/11/2016,5:17:32 PM,40.9,26.7,1010060496
106,9/11/2016,6:17:32 PM,43.7,25.1,1010060496
107,9/11/2016,7:17:32 PM,45.2,24.3,1010060496
108,9/11/2016,8:17:32 PM,46.3,23.5,1010060496
109,9/11/2016,9:17:32 PM,47.2,22.9,1010060496
110,9/11/2016,10:17:32 PM,48.1,22.4,1010060496
111,9/11/2016,11:17:32 PM,48.8,21.9,1010060496
112,9/12/2016,12:17:32 AM,49.6,21.6,1010060496
113,9/12/2016,1:17:32 AM,51.2,20.9,1010060496
114,9/12/2016,2:17:32 AM,56.9,20.9,1010060496
115,9/12/2016,3:17:32 AM,65.5,20.6,1010060496
116,9/12/2016,4:17:32 AM,68.8,19.9,1010060496
117,9/12/2016,5:17:32 AM,69.4,19.8,1010060496
118,9/12/2016,6:17:32 AM,69,19.5,1010060496
119,9/12/2016,7:17:32 AM,65.6,20.9,1010060496
120,9/12/2016,8:17:32 AM,64.3,21.8,1010060496
121,9/12/2016,9:17:32 AM,55.6,23.9,1010060496
122,9/12/2016,10:17:32 AM,50.2,25.8,1010060496
123,9/12/2016,11:17:32 AM,44.5,27.8,1010060496
124,9/12/2016,12:17:32 PM,40.1,29,1010060496
125,9/12/2016,1:17:32 PM,35,30.1,1010060496
126,9/12/2016,2:17:32 PM,32.9,30.4,1010060496
127,9/12/2016,3:17:32 PM,32.5,30.4,1010060496
128,9/12/2016,4:17:32 PM,32.6,29.8,1010060496
129,9/12/2016,5:17:32 PM,33.3,28.7,1010060496
130,9/12/2016,6:17:32 PM,35.9,26.7,1010060496
131,9/12/2016,7:17:32 PM,38.3,25.4,1010060496
132,9/12/2016,8:17:32 PM,39.6,24.7,1010060496
133,9/12/2016,9:17:32 PM,39.9,24.1,1010060496
134,9/12/2016,10:17:32 PM,42,23.1,1010060496
135,9/12/2016,11:17:32 PM,43.1,22.4,1010060496
136,9/13/2016,12:17:32 AM,44.3,21.9,1010060496
137,9/13/2016,1:17:32 AM,45.3,21.4,1010060496
138,9/13/2016,2:17:32 AM,46.6,20.9,1010060496
139,9/13/2016,3:17:32 AM,47.7,20.3,1010060496
140,9/13/2016,4:17:32 AM,49.2,19.4,1010060496
141,9/13/2016,5:17:32 AM,50.3,19.1,1010060496
142,9/13/2016,6:17:32 AM,52.4,18.6,1010060496
143,9/13/2016,7:17:32 AM,47.6,20.8,1010060496
144,9/13/2016,8:17:32 AM,41.6,24.1,1010060496
145,9/13/2016,9:17:32 AM,35.6,27.5,1010060496
146,9/13/2016,10:17:32 AM,31,29.4,1010060496
147,9/13/2016,11:17:32 AM,26.5,30.7,1010060496
148,9/13/2016,12:17:32 PM,24.9,31.7,1010060496
149,9/13/2016,1:17:32 PM,23.8,32.4,1010060496
150,9/13/2016,2:17:32 PM,24.1,32.4,1010060496
151,9/13/2016,3:17:32 PM,26.6,32,1010060496
152,9/13/2016,4:17:32 PM,27.9,31.3,1010060496
153,9/13/2016,5:17:32 PM,39.2,29.2,1010060496
154,9/13/2016,6:17:32 PM,50.1,25.2,1010060496
155,9/13/2016,7:17:32 PM,53.8,23.6,1010060496
156,9/13/2016,8:17:32 PM,56.1,22.3,1010060496
157,9/13/2016,9:17:32 PM,56.1,22.2,1010060496
158,9/13/2016,10:17:32 PM,57.8,21.4,1010060496
159,9/13/2016,11:17:32 PM,56.3,21.2,1010060496
160,9/14/2016,12:17:32 AM,56.2,20.6,1010060496
161,9/14/2016,1:17:32 AM,56.2,20.4,1010060496
162,9/14/2016,2:17:32 AM,59,19.9,1010060496
163,9/14/2016,3:17:32 AM,59.6,19.8,1010060496
164,9/14/2016,4:17:32 AM,59.3,19.7,1010060496
165,9/14/2016,5:17:32 AM,61.6,19.3,1010060496
166,9/14/2016,6:17:32 AM,61,19.3,1010060496
167,9/14/2016,7:17:32 AM,60.9,19.6,1010060496
168,9/14/2016,8:17:32 AM,57.9,20.4,1010060496
169,9/14/2016,9:17:32 AM,54.2,22.2,1010060496
170,9/14/2016,10:17:32 AM,52.1,23.3,1010060496
171,9/14/2016,11:17:32 AM,48.1,24.8,1010060496
172,9/14/2016,12:17:32 PM,43.4,27.3,1010060496
173,9/14/2016,1:17:32 PM,43.6,27,1010060496
174,9/14/2016,2:17:32 PM,41.1,27.6,1010060496
175,9/14/2016,3:17:32 PM,41.5,27.2,1010060496
176,9/14/2016,4:17:32 PM,40.2,27.3,1010060496
177,9/14/2016,5:17:32 PM,42.8,25.8,1010060496
178,9/14/2016,6:17:32 PM,45.5,24.2,1010060496
179,9/14/2016,7:17:32 PM,47.2,23.6,1010060496
180,9/14/2016,8:17:32 PM,48.4,22.6,1010060496
181,9/14/2016,9:17:32 PM,48.9,22.2,1010060496
182,9/14/2016,10:17:32 PM,49.5,21.9,1010060496
183,9/14/2016,11:17:32 PM,50.8,21.4,1010060496
184,9/15/2016,12:17:32 AM,51.9,21.1,1010060496
185,9/15/2016,1:17:32 AM,53,20.5,1010060496
186,9/15/2016,2:17:32 AM,53.4,19.8,1010060496
187,9/15/2016,3:17:32 AM,53,19.8,1010060496
188,9/15/2016,4:17:32 AM,53.9,20.1,1010060496
189,9/15/2016,5:17:32 AM,55.8,20.4,1010060496
190,9/15/2016,6:17:32 AM,56,20.7,1010060496
191,9/15/2016,7:17:32 AM,59.2,21.4,1010060496
192,9/15/2016,8:17:32 AM,62.3,22,1010060496
193,9/15/2016,9:17:32 AM,55.3,24.6,1010060496
194,9/15/2016,10:17:32 AM,49.5,27,1010060496
195,9/15/2016,11:17:32 AM,45.6,28.6,1010060496
196,9/15/2016,12:17:32 PM,42.6,29.5,1010060496
197,9/15/2016,1:17:32 PM,38.7,30.6,1010060496
198,9/15/2016,2:17:32 PM,35.2,31.5,1010060496
199,9/15/2016,3:17:32 PM,33.2,31.8,1010060496
200,9/15/2016,4:17:32 PM,32.1,31.2,1010060496
201,9/15/2016,5:17:32 PM,32.4,29.9,1010060496
202,9/15/2016,6:17:32 PM,34,28.3,1010060496
203,9/15/2016,7:17:32 PM,37.3,26.9,1010060496
204,9/15/2016,8:17:32 PM,39.5,25.7,1010060496
205,9/15/2016,9:17:32 PM,40.8,25.2,1010060496
206,9/15/2016,10:17:32 PM,41.1,25,1010060496
207,9/15/2016,11:17:32 PM,43.4,23.6,1010060496
208,9/16/2016,12:17:32 AM,44.4,23.1,1010060496
209,9/16/2016,1:17:32 AM,45.4,22.6,1010060496
210,9/16/2016,2:17:32 AM,46.6,21.7,1010060496
211,9/16/2016,3:17:32 AM,47.1,20.9,1010060496
212,9/16/2016,4:17:32 AM,49.1,20.6,1010060496
213,9/16/2016,5:17:32 AM,49.7,19.9,1010060496
214,9/16/2016,6:17:32 AM,50.1,19.6,1010060496
215,9/16/2016,7:17:32 AM,47.5,21.8,1010060496
216,9/16/2016,8:17:32 AM,42.9,24.7,1010060496
217,9/16/2016,9:17:32 AM,40.1,27.6,1010060496
218,9/16/2016,10:17:32 AM,35.7,30.2,1010060496
219,9/16/2016,11:17:32 AM,30.2,32.7,1010060496
220,9/16/2016,12:17:32 PM,24.1,35.1,1010060496
221,9/16/2016,1:17:32 PM,19.5,36.6,1010060496
222,9/16/2016,2:17:32 PM,17.2,36.7,1010060496
223,9/16/2016,3:17:32 PM,16.3,36.4,1010060496
224,9/16/2016,4:17:32 PM,14.9,35.7,1010060496
225,9/16/2016,5:17:32 PM,17.8,33.9,1010060496
226,9/16/2016,6:17:32 PM,20.3,31.6,1010060496
227,9/16/2016,7:17:32 PM,22.6,29.7,1010060496
228,9/16/2016,8:17:32 PM,22.2,29.3,1010060496
229,9/16/2016,9:17:32 PM,22.3,29.1,1010060496
230,9/16/2016,10:17:32 PM,22.4,28.4,1010060496
231,9/16/2016,11:17:32 PM,24.1,27,1010060496
232,9/17/2016,12:17:32 AM,24.6,26.3,1010060496
233,9/17/2016,1:17:32 AM,24.9,25.6,1010060496
234,9/17/2016,2:17:32 AM,27,24.6,1010060496
235,9/17/2016,3:17:32 AM,28.3,24.3,1010060496
236,9/17/2016,4:17:32 AM,30.9,23.7,1010060496
237,9/17/2016,5:17:32 AM,32.4,23.2,1010060496
238,9/17/2016,6:17:32 AM,34,22.3,1010060496
239,9/17/2016,7:17:32 AM,31.6,24.1,1010060496
240,9/17/2016,8:17:32 AM,33.9,26.3,1010060496
241,9/17/2016,9:17:32 AM,36,27.6,1010060496
242,9/17/2016,10:17:32 AM,35.1,28.4,1010060496
243,9/17/2016,11:17:32 AM,31.7,29.7,1010060496
244,9/17/2016,12:17:32 PM,31.7,30.4,1010060496
245,9/17/2016,1:17:32 PM,31.7,31.3,1010060496
246,9/17/2016,2:17:32 PM,34.9,30.9,1010060496
247,9/17/2016,3:17:32 PM,36.7,30,1010060496
248,9/17/2016,4:17:32 PM,40,28.4,1010060496
249,9/17/2016,5:17:32 PM,42,27.4,1010060496
250,9/17/2016,6:17:32 PM,44.6,26.2,1010060496
251,9/17/2016,7:17:32 PM,45.7,25.3,1010060496
252,9/17/2016,8:17:32 PM,43.9,24.2,1010060496
253,9/17/2016,9:17:32 PM,46.2,23.4,1010060496
