Index,Date,Time,Readings (%RH),Readings (°C),Type
1,"9/6/2016","10:16:15 AM","39.4","29.3",
2,"9/6/2016","11:16:15 AM","34.1","28.8",
3,"9/6/2016","12:16:15 PM","31.5","29.9",
4,"9/6/2016","1:16:15 PM","29.0","30.8",
5,"9/6/2016","2:16:15 PM","26.5","32.0",
6,"9/6/2016","3:16:15 PM","22.2","32.4",
7,"9/6/2016","4:16:15 PM","22.5","32.2",
8,"9/6/2016","5:16:15 PM","22.3","31.7",
9,"9/6/2016","6:16:15 PM","22.8","30.7",
10,"9/6/2016","7:16:15 PM","25.1","29.9",
11,"9/6/2016","8:16:15 PM","25.7","29.4",
12,"9/6/2016","9:16:15 PM","28.4","28.9",
13,"9/6/2016","10:16:15 PM","29.0","28.6",
14,"9/6/2016","11:16:15 PM","29.0","28.1",
15,"9/7/2016","12:16:15 AM","30.0","27.6",
16,"9/7/2016","1:16:15 AM","30.3","27.1",
17,"9/7/2016","2:16:15 AM","30.8","26.6",
18,"9/7/2016","3:16:15 AM","31.3","26.1",
19,"9/7/2016","4:16:15 AM","32.4","25.6",
20,"9/7/2016","5:16:15 AM","34.7","25.1",
21,"9/7/2016","6:16:15 AM","36.6","24.4",
22,"9/7/2016","7:16:15 AM","42.7","24.4",
23,"9/7/2016","8:16:15 AM","43.4","25.2",
24,"9/7/2016","9:16:15 AM","42.2","26.3",
25,"9/7/2016","10:16:15 AM","41.1","28.0",
26,"9/7/2016","11:16:15 AM","38.2","29.5",
27,"9/7/2016","12:16:15 PM","36.5","30.6",
28,"9/7/2016","1:16:15 PM","30.3","31.5",
29,"9/7/2016","2:16:15 PM","28.0","32.4",
30,"9/7/2016","3:16:15 PM","25.3","32.6",
31,"9/7/2016","4:16:15 PM","23.4","32.5",
32,"9/7/2016","5:16:15 PM","24.2","31.9",
33,"9/7/2016","6:16:15 PM","26.7","30.8",
34,"9/7/2016","7:16:15 PM","26.6","30.1",
35,"9/7/2016","8:16:15 PM","27.9","29.5",
36,"9/7/2016","9:16:15 PM","27.7","29.1",
37,"9/7/2016","10:16:15 PM","29.1","28.6",
38,"9/7/2016","11:16:15 PM","30.1","28.1",
39,"9/8/2016","12:16:15 AM","30.8","27.6",
40,"9/8/2016","1:16:15 AM","31.8","27.2",
41,"9/8/2016","2:16:15 AM","31.5","26.7",
42,"9/8/2016","3:16:15 AM","31.1","26.1",
43,"9/8/2016","4:16:15 AM","32.4","25.6",
44,"9/8/2016","5:16:15 AM","33.5","25.0",
45,"9/8/2016","6:16:15 AM","35.7","24.3",
46,"9/8/2016","7:16:15 AM","39.3","24.2",
47,"9/8/2016","8:16:15 AM","43.2","25.0",
48,"9/8/2016","9:16:15 AM","44.0","26.1",
49,"9/8/2016","10:16:15 AM","42.9","27.3",
50,"9/8/2016","11:16:15 AM","39.7","28.6",
51,"9/8/2016","12:16:15 PM","36.9","29.8",
52,"9/8/2016","1:16:15 PM","33.8","31.1",
53,"9/8/2016","2:16:15 PM","31.0","31.9",
54,"9/8/2016","3:16:15 PM","29.7","32.2",
55,"9/8/2016","4:16:15 PM","27.5","32.3",
56,"9/8/2016","5:16:15 PM","27.4","31.8",
57,"9/8/2016","6:16:15 PM","31.1","31.0",
58,"9/8/2016","7:16:15 PM","32.0","30.4",
59,"9/8/2016","8:16:15 PM","31.7","29.8",
60,"9/8/2016","9:16:15 PM","33.2","29.5",
61,"9/8/2016","10:16:15 PM","33.1","29.0",
