Index,Date,Time,Readings (%RH),Readings (°C),Type
1,"9/6/2016","9:53:14 AM","40.9","29.7",
2,"9/6/2016","10:53:14 AM","30.8","29.8",
3,"9/6/2016","11:53:14 AM","28.2","31.8",
4,"9/6/2016","12:53:14 PM","25.0","33.3",
5,"9/6/2016","1:53:14 PM","23.0","34.6",
6,"9/6/2016","2:53:14 PM","22.5","35.4",
7,"9/6/2016","3:53:14 PM","19.5","34.8",
8,"9/6/2016","4:53:14 PM","20.5","33.9",
9,"9/6/2016","5:53:14 PM","20.3","32.8",
10,"9/6/2016","6:53:14 PM","23.8","31.9",
11,"9/6/2016","7:53:14 PM","25.1","31.2",
12,"9/6/2016","8:53:14 PM","24.5","30.6",
13,"9/6/2016","9:53:14 PM","25.5","30.1",
14,"9/6/2016","10:53:14 PM","26.2","29.7",
15,"9/6/2016","11:53:14 PM","27.1","29.3",
16,"9/7/2016","12:53:14 AM","28.0","28.9",
17,"9/7/2016","1:53:14 AM","28.5","28.5",
18,"9/7/2016","2:53:14 AM","29.5","28.1",
19,"9/7/2016","3:53:14 AM","35.6","27.8",
20,"9/7/2016","4:53:14 AM","32.4","27.3",
21,"9/7/2016","5:53:14 AM","33.2","26.3",
22,"9/7/2016","6:53:14 AM","37.3","25.7",
23,"9/7/2016","7:53:14 AM","41.0","26.1",
24,"9/7/2016","8:53:14 AM","41.8","26.8",
25,"9/7/2016","9:53:14 AM","40.0","28.1",
26,"9/7/2016","10:53:14 AM","37.4","29.6",
27,"9/7/2016","11:53:14 AM","33.4","31.2",
28,"9/7/2016","12:53:14 PM","30.0","32.6",
29,"9/7/2016","1:53:14 PM","26.9","33.9",
30,"9/7/2016","2:53:14 PM","23.6","34.1",
31,"9/7/2016","3:53:14 PM","23.4","34.0",
32,"9/7/2016","4:53:14 PM","23.0","33.7",
33,"9/7/2016","5:53:14 PM","24.1","32.8",
34,"9/7/2016","6:53:14 PM","25.7","31.9",
35,"9/7/2016","7:53:14 PM","25.3","31.2",
36,"9/7/2016","8:53:14 PM","25.5","30.4",
37,"9/7/2016","9:53:14 PM","26.6","30.1",
38,"9/7/2016","10:53:14 PM","27.4","29.7",
39,"9/7/2016","11:53:14 PM","28.4","29.3",
40,"9/8/2016","12:53:14 AM","29.3","28.9",
41,"9/8/2016","1:53:14 AM","30.1","28.6",
42,"9/8/2016","2:53:14 AM","29.3","28.2",
43,"9/8/2016","3:53:14 AM","29.5","27.7",
44,"9/8/2016","4:53:14 AM","29.7","27.2",
45,"9/8/2016","5:53:14 AM","29.9","26.3",
46,"9/8/2016","6:53:14 AM","32.7","25.7",
47,"9/8/2016","7:53:14 AM","37.4","26.0",
48,"9/8/2016","8:53:14 AM","40.5","26.8",
49,"9/8/2016","9:53:14 AM","41.1","28.1",
50,"9/8/2016","10:53:14 AM","39.1","29.4",
51,"9/8/2016","11:53:14 AM","36.2","30.9",
52,"9/8/2016","12:53:14 PM","32.9","32.3",
53,"9/8/2016","1:53:14 PM","31.0","33.3",
54,"9/8/2016","2:53:14 PM","29.3","34.2",
55,"9/8/2016","3:53:14 PM","27.1","34.3",
56,"9/8/2016","4:53:14 PM","25.5","33.9",
57,"9/8/2016","5:53:14 PM","27.5","32.9",
58,"9/8/2016","6:53:14 PM","30.0","32.1",
59,"9/8/2016","7:53:14 PM","31.9","31.6",
60,"9/8/2016","8:53:14 PM","33.1","30.7",
61,"9/8/2016","9:53:14 PM","33.5","30.5",
62,"9/8/2016","10:53:14 PM","33.0","30.1",
63,"9/8/2016","11:53:14 PM","33.3","29.7",
64,"9/9/2016","12:53:14 AM","33.5","29.3",
65,"9/9/2016","1:53:14 AM","33.8","28.9",
66,"9/9/2016","2:53:14 AM","33.5","28.6",
67,"9/9/2016","3:53:14 AM","33.8","28.1",
68,"9/9/2016","4:53:14 AM","33.2","27.7",
69,"9/9/2016","5:53:14 AM","33.6","26.8",
70,"9/9/2016","6:53:14 AM","35.3","26.1",
71,"9/9/2016","7:53:14 AM","36.2","26.2",
72,"9/9/2016","8:53:14 AM","38.6","26.9",
73,"9/9/2016","9:53:14 AM","39.4","28.2",
74,"9/9/2016","10:53:14 AM","38.1","29.9",
75,"9/9/2016","11:53:14 AM","35.0","31.8",
76,"9/9/2016","12:53:14 PM","28.8","33.7",
77,"9/9/2016","1:53:14 PM","24.5","35.1",
78,"9/9/2016","2:53:14 PM","21.4","36.3",
79,"9/9/2016","3:53:14 PM","21.4","36.6",
80,"9/9/2016","4:53:14 PM","21.2","36.2",
81,"9/9/2016","5:53:14 PM","22.6","34.9",
82,"9/9/2016","6:53:14 PM","24.3","33.7",
83,"9/9/2016","7:53:14 PM","25.0","32.8",
84,"9/9/2016","8:53:14 PM","25.7","32.2",
85,"9/9/2016","9:53:14 PM","26.6","31.8",
86,"9/9/2016","10:53:14 PM","27.0","31.4",
87,"9/9/2016","11:53:14 PM","37.2","31.2",
88,"9/10/2016","12:53:14 AM","39.7","30.8",
89,"9/10/2016","1:53:14 AM","40.7","30.3",
90,"9/10/2016","2:53:14 AM","39.5","29.8",
91,"9/10/2016","3:53:14 AM","38.8","29.2",
92,"9/10/2016","4:53:14 AM","39.5","28.6",
93,"9/10/2016","5:53:14 AM","39.9","28.2",
94,"9/10/2016","6:53:14 AM","40.3","27.7",
95,"9/10/2016","7:53:14 AM","43.2","27.0",
96,"9/10/2016","8:53:14 AM","46.3","25.7",
97,"9/10/2016","9:53:14 AM","47.0","25.4",
98,"9/10/2016","10:53:14 AM","48.8","26.2",
99,"9/10/2016","11:53:14 AM","46.6","25.8",
100,"9/10/2016","12:53:14 PM","45.8","26.3",
101,"9/10/2016","1:53:14 PM","44.1","27.2",
102,"9/10/2016","2:53:14 PM","43.7","27.5",
103,"9/10/2016","3:53:14 PM","43.3","27.5",
104,"9/10/2016","4:53:14 PM","43.9","27.2",
105,"9/10/2016","5:53:14 PM","43.8","26.8",
106,"9/10/2016","6:53:14 PM","44.5","26.3",
107,"9/10/2016","7:53:14 PM","50.9","26.3",
108,"9/10/2016","8:53:14 PM","47.1","26.3",
109,"9/10/2016","9:53:14 PM","45.8","25.9",
110,"9/10/2016","10:53:14 PM","45.9","25.5",
111,"9/10/2016","11:53:14 PM","46.2","25.2",
112,"9/11/2016","12:53:14 AM","46.1","25.1",
113,"9/11/2016","1:53:14 AM","46.6","24.9",
114,"9/11/2016","2:53:14 AM","48.3","24.7",
115,"9/11/2016","3:53:14 AM","49.2","24.5",
116,"9/11/2016","4:53:14 AM","50.1","24.3",
117,"9/11/2016","5:53:14 AM","64.5","24.9",
118,"9/11/2016","6:53:14 AM","54.4","24.5",
119,"9/11/2016","7:53:14 AM","52.8","24.3",
120,"9/11/2016","8:53:14 AM","53.0","24.3",
121,"9/11/2016","9:53:14 AM","52.6","24.6",
122,"9/11/2016","10:53:14 AM","54.8","24.5",
123,"9/11/2016","11:53:14 AM","52.6","25.1",
124,"9/11/2016","12:53:14 PM","48.5","26.1",
125,"9/11/2016","1:53:14 PM","44.7","27.6",
126,"9/11/2016","2:53:14 PM","40.7","28.3",
127,"9/11/2016","3:53:14 PM","40.2","29.1",
128,"9/11/2016","4:53:14 PM","39.2","28.7",
129,"9/11/2016","5:53:14 PM","39.7","28.2",
130,"9/11/2016","6:53:14 PM","40.2","27.5",
131,"9/11/2016","7:53:14 PM","40.5","26.9",
132,"9/11/2016","8:53:14 PM","42.1","26.6",
133,"9/11/2016","9:53:14 PM","42.1","26.3",
134,"9/11/2016","10:53:14 PM","42.1","25.9",
135,"9/11/2016","11:53:14 PM","42.2","25.6",
136,"9/12/2016","12:53:14 AM","42.6","25.3",
137,"9/12/2016","1:53:14 AM","43.3","25.1",
138,"9/12/2016","2:53:14 AM","45.0","24.9",
139,"9/12/2016","3:53:14 AM","46.3","24.7",
140,"9/12/2016","4:53:14 AM","56.6","24.9",
141,"9/12/2016","5:53:14 AM","55.0","24.7",
142,"9/12/2016","6:53:14 AM","56.8","24.2",
143,"9/12/2016","7:53:14 AM","55.9","24.2",
144,"9/12/2016","8:53:14 AM","55.0","24.6",
145,"9/12/2016","9:53:14 AM","53.5","25.3",
146,"9/12/2016","10:53:14 AM","50.1","26.1",
147,"9/12/2016","11:53:14 AM","46.4","27.1",
148,"9/12/2016","12:53:14 PM","42.2","28.9",
149,"9/12/2016","1:53:14 PM","38.1","30.2",
150,"9/12/2016","2:53:14 PM","36.9","31.3",
151,"9/12/2016","3:53:14 PM","35.1","31.8",
152,"9/12/2016","4:53:14 PM","32.9","31.4",
153,"9/12/2016","5:53:14 PM","34.0","30.2",
154,"9/12/2016","6:53:14 PM","35.3","29.4",
155,"9/12/2016","7:53:14 PM","35.1","28.7",
156,"9/12/2016","8:53:14 PM","36.6","28.3",
157,"9/12/2016","9:53:14 PM","36.9","27.8",
158,"9/12/2016","10:53:14 PM","37.3","27.6",
159,"9/12/2016","11:53:14 PM","37.7","27.2",
160,"9/13/2016","12:53:14 AM","37.6","26.8",
161,"9/13/2016","1:53:14 AM","37.5","26.4",
162,"9/13/2016","2:53:14 AM","37.6","25.9",
163,"9/13/2016","3:53:14 AM","37.8","25.5",
164,"9/13/2016","4:53:14 AM","38.0","25.1",
165,"9/13/2016","5:53:14 AM","38.3","24.2",
166,"9/13/2016","6:53:14 AM","39.6","23.7",
167,"9/13/2016","7:53:14 AM","41.7","23.9",
168,"9/13/2016","8:53:14 AM","43.1","24.9",
169,"9/13/2016","9:53:14 AM","39.1","26.4",
170,"9/13/2016","10:53:14 AM","35.8","27.9",
171,"9/13/2016","11:53:14 AM","30.9","29.2",
172,"9/13/2016","12:53:14 PM","28.4","30.3",
173,"9/13/2016","1:53:14 PM","28.7","30.9",
174,"9/13/2016","2:53:14 PM","28.5","31.4",
175,"9/13/2016","3:53:14 PM","30.2","31.7",
176,"9/13/2016","4:53:14 PM","30.4","31.5",
177,"9/13/2016","5:53:14 PM","39.4","30.7",
178,"9/13/2016","6:53:14 PM","39.5","29.8",
179,"9/13/2016","7:53:14 PM","40.8","29.1",
180,"9/13/2016","8:53:14 PM","42.3","28.4",
181,"9/13/2016","9:53:14 PM","42.8","28.0",
182,"9/13/2016","10:53:14 PM","43.0","27.6",
183,"9/13/2016","11:53:14 PM","42.0","27.1",
184,"9/14/2016","12:53:14 AM","41.9","26.7",
185,"9/14/2016","1:53:14 AM","42.6","26.4",
186,"9/14/2016","2:53:14 AM","43.2","26.1",
187,"9/14/2016","3:53:14 AM","43.8","25.8",
188,"9/14/2016","4:53:14 AM","44.2","25.6",
189,"9/14/2016","5:53:14 AM","44.9","25.2",
190,"9/14/2016","6:53:14 AM","45.7","24.8",
191,"9/14/2016","7:53:14 AM","46.0","24.8",
192,"9/14/2016","8:53:14 AM","48.1","25.1",
193,"9/14/2016","9:53:14 AM","46.4","25.7",
194,"9/14/2016","10:53:14 AM","45.6","26.3",
195,"9/14/2016","11:53:14 AM","44.8","27.6",
196,"9/14/2016","12:53:14 PM","43.9","28.2",
197,"9/14/2016","1:53:14 PM","42.6","28.8",
198,"9/14/2016","2:53:14 PM","40.6","29.5",
199,"9/14/2016","3:53:14 PM","39.7","29.6",
200,"9/14/2016","4:53:14 PM","38.9","29.7",
201,"9/14/2016","5:53:14 PM","39.2","28.7",
202,"9/14/2016","6:53:14 PM","40.6","27.9",
203,"9/14/2016","7:53:14 PM","41.4","27.3",
204,"9/14/2016","8:53:14 PM","41.4","26.9",
205,"9/14/2016","9:53:14 PM","42.6","26.5",
206,"9/14/2016","10:53:14 PM","42.7","26.3",
207,"9/14/2016","11:53:14 PM","42.9","25.9",
208,"9/15/2016","12:53:14 AM","42.5","25.6",
209,"9/15/2016","1:53:14 AM","42.5","25.2",
210,"9/15/2016","2:53:14 AM","42.3","24.8",
211,"9/15/2016","3:53:14 AM","43.3","24.6",
212,"9/15/2016","4:53:14 AM","43.5","24.4",
213,"9/15/2016","5:53:14 AM","45.4","24.3",
214,"9/15/2016","6:53:14 AM","52.1","24.2",
215,"9/15/2016","7:53:14 AM","54.3","24.3",
216,"9/15/2016","8:53:14 AM","52.8","24.7",
217,"9/15/2016","9:53:14 AM","52.0","25.7",
218,"9/15/2016","10:53:14 AM","50.0","27.4",
219,"9/15/2016","11:53:14 AM","47.3","29.1",
220,"9/15/2016","12:53:14 PM","44.4","30.5",
221,"9/15/2016","1:53:14 PM","41.9","31.7",
222,"9/15/2016","2:53:14 PM","39.9","32.7",
223,"9/15/2016","3:53:14 PM","37.7","33.1",
224,"9/15/2016","4:53:14 PM","36.0","32.4",
