Index,Date,Time,Readings (%RH),Readings (°C),Type
1,"9/8/2016","9:43:22 AM","54.4","23.8",
2,"9/8/2016","10:43:22 AM","34.5","28.9",
3,"9/8/2016","11:43:22 AM","33.2","30.5",
4,"9/8/2016","12:43:22 PM","32.4","31.7",
5,"9/8/2016","1:43:22 PM","31.5","32.6",
6,"9/8/2016","2:43:22 PM","30.6","33.3",
7,"9/8/2016","3:43:22 PM","29.6","33.6",
8,"9/8/2016","4:43:22 PM","29.1","33.1",
9,"9/8/2016","5:43:22 PM","29.7","32.5",
10,"9/8/2016","6:43:22 PM","30.5","31.9",
11,"9/8/2016","7:43:22 PM","31.0","31.2",
12,"9/8/2016","8:43:22 PM","31.3","30.5",
13,"9/8/2016","9:43:22 PM","31.7","29.9",
14,"9/8/2016","10:43:22 PM","32.1","29.3",
15,"9/8/2016","11:43:22 PM","32.4","28.7",
16,"9/9/2016","12:43:22 AM","32.7","28.1",
17,"9/9/2016","1:43:22 AM","32.9","27.4",
18,"9/9/2016","2:43:22 AM","33.1","26.9",
19,"9/9/2016","3:43:22 AM","33.3","26.3",
20,"9/9/2016","4:43:22 AM","33.6","25.7",
21,"9/9/2016","5:43:22 AM","34.0","25.3",
22,"9/9/2016","6:43:22 AM","34.4","24.9",
23,"9/9/2016","7:43:22 AM","34.1","25.3",
24,"9/9/2016","8:43:22 AM","34.7","26.2",
25,"9/9/2016","9:43:22 AM","35.4","27.6",
26,"9/9/2016","10:43:22 AM","34.8","29.2",
27,"9/9/2016","11:43:22 AM","33.4","30.7",
28,"9/9/2016","12:43:22 PM","31.4","32.0",
29,"9/9/2016","1:43:22 PM","29.6","33.2",
30,"9/9/2016","2:43:22 PM","28.8","34.0",
31,"9/9/2016","3:43:22 PM","28.2","34.5",
32,"9/9/2016","4:43:22 PM","28.0","34.5",
33,"9/9/2016","5:43:22 PM","27.9","33.9",
34,"9/9/2016","6:43:22 PM","28.3","33.2",
35,"9/9/2016","7:43:22 PM","29.0","32.3",
36,"9/9/2016","8:43:22 PM","29.3","31.7",
37,"9/9/2016","9:43:22 PM","29.4","31.1",
38,"9/9/2016","10:43:22 PM","29.8","30.5",
39,"9/9/2016","11:43:22 PM","32.3","29.9",
40,"9/10/2016","12:43:22 AM","34.9","29.5",
41,"9/10/2016","1:43:22 AM","35.7","28.8",
42,"9/10/2016","2:43:22 AM","35.7","28.2",
43,"9/10/2016","3:43:22 AM","35.6","27.4",
44,"9/10/2016","4:43:22 AM","35.8","26.8",
45,"9/10/2016","5:43:22 AM","36.2","26.3",
