Index,Date,Time,Readings (%RH),Readings (°C),Type
1,"9/7/2016","1:13:58 PM","35.8","33.6",
2,"9/7/2016","2:13:58 PM","27.4","32.3",
3,"9/7/2016","3:13:58 PM","26.0","32.8",
4,"9/7/2016","4:13:58 PM","23.8","32.9",
5,"9/7/2016","5:13:58 PM","22.6","33.0",
6,"9/7/2016","6:13:58 PM","23.3","31.9",
7,"9/7/2016","7:13:58 PM","25.2","30.9",
8,"9/7/2016","8:13:58 PM","25.5","30.1",
9,"9/7/2016","9:13:58 PM","25.7","28.7",
10,"9/7/2016","10:13:58 PM","25.9","28.1",
11,"9/7/2016","11:13:58 PM","27.0","27.3",
12,"9/8/2016","12:13:58 AM","27.1","26.6",
13,"9/8/2016","1:13:58 AM","27.7","25.9",
14,"9/8/2016","2:13:58 AM","28.0","25.3",
15,"9/8/2016","3:13:58 AM","29.0","24.6",
16,"9/8/2016","4:13:58 AM","29.8","24.0",
17,"9/8/2016","5:13:58 AM","30.3","23.4",
18,"9/8/2016","6:13:58 AM","30.7","22.9",
19,"9/8/2016","7:13:58 AM","32.1","22.6",
20,"9/8/2016","8:13:58 AM","37.4","23.7",
21,"9/8/2016","9:13:58 AM","41.5","24.8",
22,"9/8/2016","10:13:58 AM","41.9","26.2",
23,"9/8/2016","11:13:58 AM","39.7","27.9",
24,"9/8/2016","12:13:58 PM","36.3","29.7",
25,"9/8/2016","1:13:58 PM","33.8","30.8",
26,"9/8/2016","2:13:58 PM","30.5","32.2",
27,"9/8/2016","3:13:58 PM","27.6","33.2",
28,"9/8/2016","4:13:58 PM","25.7","33.4",
29,"9/8/2016","5:13:58 PM","25.6","33.4",
30,"9/8/2016","6:13:58 PM","28.8","32.3",
31,"9/8/2016","7:13:58 PM","29.8","31.6",
32,"9/8/2016","8:13:58 PM","31.1","30.9",
33,"9/8/2016","9:13:58 PM","31.4","30.1",
34,"9/8/2016","10:13:58 PM","31.5","29.3",
35,"9/8/2016","11:13:58 PM","31.9","28.4",
36,"9/9/2016","12:13:58 AM","31.8","27.7",
37,"9/9/2016","1:13:58 AM","32.1","26.9",
38,"9/9/2016","2:13:58 AM","32.3","26.2",
39,"9/9/2016","3:13:58 AM","33.3","25.6",
40,"9/9/2016","4:13:58 AM","33.5","24.8",
41,"9/9/2016","5:13:58 AM","33.5","24.2",
42,"9/9/2016","6:13:58 AM","35.3","23.6",
43,"9/9/2016","7:13:58 AM","36.6","23.6",
44,"9/9/2016","8:13:58 AM","36.8","24.2",
45,"9/9/2016","9:13:58 AM","36.9","25.2",
46,"9/9/2016","10:13:58 AM","40.0","26.8",
47,"9/9/2016","11:13:58 AM","39.0","28.7",
48,"9/9/2016","12:13:58 PM","34.4","30.8",
49,"9/9/2016","1:13:58 PM","28.6","32.5",
50,"9/9/2016","2:13:58 PM","24.0","33.9",
51,"9/9/2016","3:13:58 PM","21.2","35.1",
52,"9/9/2016","4:13:58 PM","20.7","35.4",
53,"9/9/2016","5:13:58 PM","20.8","35.1",
54,"9/9/2016","6:13:58 PM","22.2","34.1",
55,"9/9/2016","7:13:58 PM","23.0","33.2",
56,"9/9/2016","8:13:58 PM","23.6","32.4",
57,"9/9/2016","9:13:58 PM","23.9","31.7",
58,"9/9/2016","10:13:58 PM","25.1","30.9",
59,"9/9/2016","11:13:58 PM","31.7","30.4",
60,"9/10/2016","12:13:58 AM","44.1","29.0",
61,"9/10/2016","1:13:58 AM","45.5","27.9",
62,"9/10/2016","2:13:58 AM","46.1","26.9",
63,"9/10/2016","3:13:58 AM","44.7","25.8",
64,"9/10/2016","4:13:58 AM","45.4","25.2",
65,"9/10/2016","5:13:58 AM","47.6","24.6",
66,"9/10/2016","6:13:58 AM","47.1","24.1",
67,"9/10/2016","7:13:58 AM","48.1","23.7",
