Index,Date,Time,Readings (%RH),Readings (°C),Type
1,"9/6/2016","9:40:17 AM","40.1","28.9",
2,"9/6/2016","10:40:17 AM","30.0","29.6",
3,"9/6/2016","11:40:17 AM","27.6","30.0",
4,"9/6/2016","12:40:17 PM","23.5","30.2",
5,"9/6/2016","1:40:17 PM","22.1","30.6",
6,"9/6/2016","2:40:17 PM","22.1","30.8",
7,"9/6/2016","3:40:17 PM","22.1","30.9",
8,"9/6/2016","4:40:17 PM","23.0","30.9",
9,"9/6/2016","5:40:17 PM","21.5","30.7",
10,"9/6/2016","6:40:17 PM","23.6","30.3",
11,"9/6/2016","7:40:17 PM","26.0","29.9",
12,"9/6/2016","8:40:17 PM","26.4","29.6",
13,"9/6/2016","9:40:17 PM","27.3","29.2",
14,"9/6/2016","10:40:17 PM","27.8","28.8",
15,"9/6/2016","11:40:17 PM","28.5","28.4",
16,"9/7/2016","12:40:17 AM","29.5","28.1",
17,"9/7/2016","1:40:17 AM","30.3","27.7",
18,"9/7/2016","2:40:17 AM","30.9","27.3",
19,"9/7/2016","3:40:17 AM","31.9","26.9",
20,"9/7/2016","4:40:17 AM","32.9","26.6",
21,"9/7/2016","5:40:17 AM","33.4","26.2",
22,"9/7/2016","6:40:17 AM","36.2","26.0",
23,"9/7/2016","7:40:17 AM","40.6","27.0",
24,"9/7/2016","8:40:17 AM","40.2","28.3",
25,"9/7/2016","9:40:17 AM","37.7","29.3",
26,"9/7/2016","10:40:17 AM","36.3","30.0",
27,"9/7/2016","11:40:17 AM","34.1","30.4",
28,"9/7/2016","12:40:17 PM","31.4","30.7",
29,"9/7/2016","1:40:17 PM","29.5","31.1",
30,"9/7/2016","2:40:17 PM","27.1","31.3",
31,"9/7/2016","3:40:17 PM","26.1","31.3",
32,"9/7/2016","4:40:17 PM","24.9","31.3",
33,"9/7/2016","5:40:17 PM","26.0","31.0",
34,"9/7/2016","6:40:17 PM","27.3","30.4",
35,"9/7/2016","7:40:17 PM","28.1","30.1",
36,"9/7/2016","8:40:17 PM","28.7","29.8",
37,"9/7/2016","9:40:17 PM","28.9","29.4",
38,"9/7/2016","10:40:17 PM","29.8","29.1",
39,"9/7/2016","11:40:17 PM","30.8","28.7",
40,"9/8/2016","12:40:17 AM","31.7","28.4",
41,"9/8/2016","1:40:17 AM","33.2","28.1",
42,"9/8/2016","2:40:17 AM","31.8","27.6",
43,"9/8/2016","3:40:17 AM","31.3","27.2",
44,"9/8/2016","4:40:17 AM","31.5","26.8",
45,"9/8/2016","5:40:17 AM","31.4","26.3",
46,"9/8/2016","6:40:17 AM","35.2","26.1",
47,"9/8/2016","7:40:17 AM","35.0","27.2",
48,"9/8/2016","8:40:17 AM","40.8","28.2",
49,"9/8/2016","9:40:17 AM","38.8","29.2",
50,"9/8/2016","10:40:17 AM","38.8","29.4",
51,"9/8/2016","11:40:17 AM","36.9","30.1",
52,"9/8/2016","12:40:17 PM","35.0","30.4",
53,"9/8/2016","1:40:17 PM","32.6","30.7",
54,"9/8/2016","2:40:17 PM","32.0","30.9",
55,"9/8/2016","3:40:17 PM","30.0","31.1",
56,"9/8/2016","4:40:17 PM","28.0","31.0",
57,"9/8/2016","5:40:17 PM","28.8","30.8",
58,"9/8/2016","6:40:17 PM","31.8","30.5",
59,"9/8/2016","7:40:17 PM","34.5","30.2",
60,"9/8/2016","8:40:17 PM","34.1","29.9",
61,"9/8/2016","9:40:17 PM","34.8","29.6",
62,"9/8/2016","10:40:17 PM","34.8","29.3",
63,"9/8/2016","11:40:17 PM","35.1","29.0",
64,"9/9/2016","12:40:17 AM","35.4","28.6",
65,"9/9/2016","1:40:17 AM","35.8","28.3",
66,"9/9/2016","2:40:17 AM","35.9","27.9",
67,"9/9/2016","3:40:17 AM","35.1","27.5",
68,"9/9/2016","4:40:17 AM","34.8","27.2",
69,"9/9/2016","5:40:17 AM","34.1","26.8",
70,"9/9/2016","6:40:17 AM","35.6","26.4",
71,"9/9/2016","7:40:17 AM","34.8","27.3",
72,"9/9/2016","8:40:17 AM","36.0","28.3",
73,"9/9/2016","9:40:17 AM","36.1","29.2",
74,"9/9/2016","10:40:17 AM","35.8","30.2",
75,"9/9/2016","11:40:17 AM","35.5","30.7",
76,"9/9/2016","12:40:17 PM","32.0","31.3",
77,"9/9/2016","1:40:17 PM","28.2","31.7",
78,"9/9/2016","2:40:17 PM","24.6","32.2",
79,"9/9/2016","3:40:17 PM","22.6","32.9",
80,"9/9/2016","4:40:17 PM","23.2","32.7",
81,"9/9/2016","5:40:17 PM","24.8","32.3",
82,"9/9/2016","6:40:17 PM","29.1","31.9",
83,"9/9/2016","7:40:17 PM","30.3","31.6",
84,"9/9/2016","8:40:17 PM","30.8","31.2",
85,"9/9/2016","9:40:17 PM","29.8","31.0",
86,"9/9/2016","10:40:17 PM","29.0","30.7",
87,"9/9/2016","11:40:17 PM","36.5","30.4",
88,"9/10/2016","12:40:17 AM","41.2","30.0",
89,"9/10/2016","1:40:17 AM","42.2","29.6",
90,"9/10/2016","2:40:17 AM","41.2","29.2",
91,"9/10/2016","3:40:17 AM","39.5","28.8",
92,"9/10/2016","4:40:17 AM","39.8","28.3",
93,"9/10/2016","5:40:17 AM","40.3","27.9",
94,"9/10/2016","6:40:17 AM","40.6","27.6",
95,"9/10/2016","7:40:17 AM","41.6","27.2",
96,"9/10/2016","8:40:17 AM","42.6","26.7",
97,"9/10/2016","9:40:17 AM","43.3","26.6",
98,"9/10/2016","10:40:17 AM","43.5","26.7",
99,"9/10/2016","11:40:17 AM","42.9","26.8",
100,"9/10/2016","12:40:17 PM","42.7","27.2",
101,"9/10/2016","1:40:17 PM","42.8","27.3",
102,"9/10/2016","2:40:17 PM","42.9","27.3",
103,"9/10/2016","3:40:17 PM","43.1","27.2",
104,"9/10/2016","4:40:17 PM","43.4","27.1",
105,"9/10/2016","5:40:17 PM","44.4","26.8",
106,"9/10/2016","6:40:17 PM","46.2","26.6",
107,"9/10/2016","7:40:17 PM","46.2","26.4",
108,"9/10/2016","8:40:17 PM","45.3","26.2",
109,"9/10/2016","9:40:17 PM","44.3","26.0",
110,"9/10/2016","10:40:17 PM","44.3","25.7",
111,"9/10/2016","11:40:17 PM","44.5","25.4",
112,"9/11/2016","12:40:17 AM","44.7","25.3",
113,"9/11/2016","1:40:17 AM","45.2","25.1",
114,"9/11/2016","2:40:17 AM","47.0","24.9",
115,"9/11/2016","3:40:17 AM","48.4","24.7",
116,"9/11/2016","4:40:17 AM","49.2","24.5",
117,"9/11/2016","5:40:17 AM","50.0","24.3",
118,"9/11/2016","6:40:17 AM","51.5","24.1",
119,"9/11/2016","7:40:17 AM","51.5","24.0",
120,"9/11/2016","8:40:17 AM","53.3","23.9",
121,"9/11/2016","9:40:17 AM","53.2","24.3",
122,"9/11/2016","10:40:17 AM","53.3","24.6",
123,"9/11/2016","11:40:17 AM","51.0","25.2",
124,"9/11/2016","12:40:17 PM","47.9","25.8",
125,"9/11/2016","1:40:17 PM","44.8","26.3",
126,"9/11/2016","2:40:17 PM","43.2","26.3",
127,"9/11/2016","3:40:17 PM","41.7","26.6",
128,"9/11/2016","4:40:17 PM","41.0","26.6",
129,"9/11/2016","5:40:17 PM","43.6","26.4",
