Datetime,Dry Bulb Temperature,Relative Humidity,Wind Speed,Wind Direction,Atmospheric Station Pressure,Indoor Mean Air Temperature,Indoor Air Relative Humidity,Precipitable Water
2014-02-18 05:05:00,13.6,84.0,0.0,0,841.0,20.3,52.7,0.0
2014-02-18 06:05:00,13.6,85.0,0.0,0,841.3,19.7,55.4,0.0
2014-02-18 07:05:00,15.0,83.0,0.0,0,841.6,20.1,57.9,0.0
2014-02-18 08:05:00,19.2,62.0,0.0,0,841.5,21.3,56.3,0.0
2014-02-18 09:05:00,21.9,55.0,0.0,0,841.4,23.6,53.6,0.0
2014-02-18 10:05:00,24.6,48.0,1.2,300,841.3,26.3,48.1,0.0
2014-02-18 11:05:00,26.4,42.0,1.5,260,840.8,28.7,43.2,0.0
2014-02-18 12:05:00,27.6,33.0,1.6,240,840.4,31.1,37.4,0.0
2014-02-18 13:05:00,27.6,31.0,1.5,220,839.7,32.7,36.4,0.0
2014-02-18 14:05:00,28.2,29.0,1.4,190,839.0,33.2,36.0,0.0
2014-02-18 15:05:00,29.7,27.0,1.6,240,838.4,33.5,33.9,0.0
2014-02-18 16:05:00,28.3,30.0,1.5,190,837.9,32.8,29.5,0.0
2014-02-18 17:05:00,28.8,29.0,1.3,220,837.5,31.6,29.8,0.0
2014-02-18 18:05:00,27.9,29.0,1.1,180,837.4,30.1,36.4,0.0
2014-02-18 19:05:00,22.7,45.0,0.0,0,837.7,28.9,41.8,0.0
2014-02-18 20:05:00,20.3,55.0,0.0,0,837.9,28.5,43.9,0.0
2014-02-18 21:05:00,20.2,55.0,0.0,0,838.5,27.7,44.3,0.0
2014-02-18 22:05:00,20.5,52.0,0.0,0,838.9,27.0,45.3,0.0
2014-02-18 23:05:00,21.2,56.0,2.7,110,839.6,26.3,44.9,0.0
2014-02-19 00:05:00,20.1,63.0,2.1,120,839.4,25.1,47.7,0.0
2014-02-19 01:05:00,20.2,65.0,2.2,110,839.0,24.0,50.7,0.0
