Datetime,Dry Bulb Temperature,Relative Humidity,Wind Speed,Wind Direction,Atmospheric Station Pressure,Indoor Mean Air Temperature,Indoor Air Relative Humidity,Precipitable Water
2014-02-18 05:05:00,13.6,84.0,0.0,0,841.0,17.3,62.7,0.0
2014-02-18 06:05:00,13.6,85.0,0.0,0,841.3,16.8,63.1,0.0
2014-02-18 07:05:00,15.0,83.0,0.0,0,841.6,17.8,61.2,0.0
2014-02-18 08:05:00,19.2,62.0,0.0,0,841.5,21.7,58.0,0.0
2014-02-18 09:05:00,21.9,55.0,0.0,0,841.4,26.6,43.6,0.0
2014-02-18 10:05:00,24.6,48.0,1.2,300,841.3,32.7,33.1,0.0
2014-02-18 11:05:00,26.4,42.0,1.5,260,840.8,38.3,24.8,0.0
2014-02-18 12:05:00,27.6,33.0,1.6,240,840.4,41.3,18.5,0.0
2014-02-18 13:05:00,27.6,31.0,1.5,220,839.7,41.2,18.3,0.0
2014-02-18 14:05:00,28.2,29.0,1.4,190,839.0,40.1,19.6,0.0
2014-02-18 15:05:00,29.7,27.0,1.6,240,838.4,39.8,18.7,0.0
2014-02-18 16:05:00,28.3,30.0,1.5,190,837.9,40.6,18.4,0.0
2014-02-18 17:05:00,28.8,29.0,1.3,220,837.5,36.1,22.6,0.0
2014-02-18 18:05:00,27.9,29.0,1.1,180,837.4,32.2,27.0,0.0
2014-02-18 19:05:00,22.7,45.0,0.0,0,837.7,29.2,38.6,0.0
2014-02-18 20:05:00,20.3,55.0,0.0,0,837.9,27.4,45.6,0.0
2014-02-18 21:05:00,20.2,55.0,0.0,0,838.5,26.1,48.1,0.0
2014-02-18 22:05:00,20.5,52.0,0.0,0,838.9,25.2,47.0,0.0
2014-02-18 23:05:00,21.2,56.0,2.7,110,839.6,24.2,48.2,0.0
2014-02-19 00:05:00,20.1,63.0,2.1,120,839.4,22.9,52.7,0.0
2014-02-19 01:05:00,20.2,65.0,2.2,110,839.0,22.2,56.1,0.0
2014-02-19 02:05:00,20.2,61.0,3.0,100,838.9,21.3,59.3,0.0
2014-02-19 03:05:00,20.2,60.0,2.9,100,838.7,20.9,59.8,0.0
2014-02-19 04:05:00,19.5,62.0,2.1,90,838.5,20.1,61.9,0.0
2014-02-19 05:05:00,18.5,66.0,1.1,70,839.0,19.8,62.3,0.0
2014-02-19 06:05:00,18.4,72.0,1.6,50,839.3,18.9,64.3,0.0
2014-02-19 07:05:00,19.0,73.0,1.3,50,839.5,19.8,64.1,0.0
2014-02-19 08:05:00,20.0,69.0,2.1,50,839.6,21.7,59.8,0.0
2014-02-19 09:05:00,23.0,56.0,1.9,40,839.6,26.4,47.7,0.0
2014-02-19 10:05:00,24.1,53.0,1.9,30,839.2,30.7,39.0,0.0
2014-02-19 11:05:00,25.2,47.0,1.5,350,838.9,34.8,30.8,0.0
2014-02-19 12:05:00,26.2,46.0,1.5,360,838.6,37.6,26.9,0.0
2014-02-19 13:05:00,27.0,43.0,1.4,360,838.0,35.8,27.9,0.0
2014-02-19 14:05:00,28.1,41.0,1.4,10,837.3,40.9,22.2,0.0
2014-02-19 15:05:00,28.3,39.0,1.4,340,836.2,37.8,25.1,0.0
2014-02-19 16:05:00,28.5,38.0,1.4,360,835.7,33.6,31.9,0.0
2014-02-19 17:05:00,26.9,41.0,1.4,320,835.4,29.1,40.7,0.0
2014-02-19 18:05:00,25.3,49.0,0.0,0,835.5,27.4,46.0,0.0
2014-02-19 19:05:00,24.0,54.0,0.0,0,836.0,25.9,47.6,0.0
2014-02-19 20:05:00,23.4,54.0,1.3,260,836.5,24.5,55.6,0.0
2014-02-19 21:05:00,20.2,65.0,2.1,150,837.3,23.8,56.4,0.0
2014-02-19 22:05:00,20.0,65.0,1.3,130,838.4,22.4,59.4,0.0
2014-02-19 23:05:00,19.5,69.0,1.2,70,837.9,22.0,60.6,0.0
2014-02-20 00:05:00,19.3,73.0,0.0,0,837.2,21.7,62.6,0.0
2014-02-20 01:05:00,18.1,73.0,1.8,250,837.2,21.3,65.3,0.0
2014-02-20 02:05:00,18.0,80.0,0.0,0,837.1,21.0,66.6,0.0
2014-02-20 03:05:00,18.0,82.0,0.0,0,836.5,20.5,67.4,0.0
2014-02-20 04:05:00,17.8,84.0,0.0,0,836.2,19.7,69.8,0.0
2014-02-20 05:05:00,17.7,84.0,0.0,0,835.9,19.4,70.3,0.0
2014-02-20 06:05:00,17.6,83.0,0.0,0,836.0,18.8,71.1,0.0
2014-02-20 07:05:00,17.9,81.0,0.0,0,836.3,19.7,71.9,0.0
2014-02-20 08:05:00,20.1,68.0,0.0,0,836.5,22.9,60.3,0.0
2014-02-20 09:05:00,22.0,64.0,1.3,330,836.8,25.9,49.8,0.0
2014-02-20 10:05:00,23.8,56.0,1.5,340,836.8,29.7,41.6,0.0
2014-02-20 11:05:00,24.5,54.0,1.6,330,836.8,32.4,35.7,0.0
2014-02-20 12:05:00,25.8,52.0,1.7,310,836.5,34.7,31.0,0.0
2014-02-20 13:05:00,25.8,46.0,1.6,310,835.9,38.1,24.4,0.0
2014-02-20 14:05:00,27.6,41.0,1.9,280,835.1,35.1,30.3,0.0
2014-02-20 15:05:00,24.4,53.0,1.9,250,834.6,33.9,31.4,0.2
2014-02-20 16:05:00,25.6,55.0,1.1,190,834.2,33.6,35.2,0.0
2014-02-20 17:05:00,27.2,45.0,1.2,10,833.8,29.7,42.4,0.0
2014-02-20 18:05:00,26.3,42.0,1.7,270,834.0,29.6,39.5,0.0
