Datetime,Dry Bulb Temperature,Relative Humidity,Wind Speed,Wind Direction,Atmospheric Station Pressure,Indoor Mean Air Temperature,Indoor Air Relative Humidity,Precipitable Water
2014-02-18 05:05:00,13.6,84.0,0.0,0,841.0,18.3,73.2,0.0
2014-02-18 06:05:00,13.6,85.0,0.0,0,841.3,18.2,81.1,0.0
2014-02-18 07:05:00,15.0,83.0,0.0,0,841.6,18.4,68.0,0.0
2014-02-18 08:05:00,19.2,62.0,0.0,0,841.5,22.6,55.2,0.0
2014-02-18 09:05:00,21.9,55.0,0.0,0,841.4,29.2,41.7,0.0
2014-02-18 10:05:00,24.6,48.0,1.2,300,841.3,35.6,30.6,0.0
2014-02-18 11:05:00,26.4,42.0,1.5,260,840.8,40.9,23.8,0.0
2014-02-18 12:05:00,27.6,33.0,1.6,240,840.4,43.6,20.2,0.0
2014-02-18 13:05:00,27.6,31.0,1.5,220,839.7,40.3,20.7,0.0
2014-02-18 14:05:00,28.2,29.0,1.4,190,839.0,36.6,26.1,0.0
2014-02-18 15:05:00,29.7,27.0,1.6,240,838.4,33.8,31.0,0.0
2014-02-18 16:05:00,28.3,30.0,1.5,190,837.9,34.3,30.0,0.0
2014-02-18 17:05:00,28.8,29.0,1.3,220,837.5,32.6,39.7,0.0
2014-02-18 18:05:00,27.9,29.0,1.1,180,837.4,29.9,38.8,0.0
2014-02-18 19:05:00,22.7,45.0,0.0,0,837.7,27.6,42.7,0.0
2014-02-18 20:05:00,20.3,55.0,0.0,0,837.9,25.9,52.7,0.0
2014-02-18 21:05:00,20.2,55.0,0.0,0,838.5,25.2,59.0,0.0
2014-02-18 22:05:00,20.5,52.0,0.0,0,838.9,24.3,60.6,0.0
2014-02-18 23:05:00,21.2,56.0,2.7,110,839.6,23.8,63.0,0.0
2014-02-19 00:05:00,20.1,63.0,2.1,120,839.4,23.2,64.5,0.0
2014-02-19 01:05:00,20.2,65.0,2.2,110,839.0,22.4,65.4,0.0
2014-02-19 02:05:00,20.2,61.0,3.0,100,838.9,21.7,67.8,0.0
2014-02-19 03:05:00,20.2,60.0,2.9,100,838.7,21.3,67.0,0.0
2014-02-19 04:05:00,19.5,62.0,2.1,90,838.5,20.7,68.2,0.0
2014-02-19 05:05:00,18.5,66.0,1.1,70,839.0,20.4,68.7,0.0
2014-02-19 06:05:00,18.4,72.0,1.6,50,839.3,19.8,70.9,0.0
2014-02-19 07:05:00,19.0,73.0,1.3,50,839.5,20.6,70.0,0.0
2014-02-19 08:05:00,20.0,69.0,2.1,50,839.6,22.9,68.9,0.0
2014-02-19 09:05:00,23.0,56.0,1.9,40,839.6,27.3,51.4,0.0
2014-02-19 10:05:00,24.1,53.0,1.9,30,839.2,32.8,41.8,0.0
2014-02-19 11:05:00,25.2,47.0,1.5,350,838.9,37.2,36.9,0.0
2014-02-19 12:05:00,26.2,46.0,1.5,360,838.6,41.6,32.4,0.0
2014-02-19 13:05:00,27.0,43.0,1.4,360,838.0,36.7,38.6,0.0
2014-02-19 14:05:00,28.1,41.0,1.4,10,837.3,38.0,38.8,0.0
2014-02-19 15:05:00,28.3,39.0,1.4,340,836.2,35.1,30.5,0.0
2014-02-19 16:05:00,28.5,38.0,1.4,360,835.7,31.8,34.6,0.0
2014-02-19 17:05:00,26.9,41.0,1.4,320,835.4,28.6,43.4,0.0
2014-02-19 18:05:00,25.3,49.0,0.0,0,835.5,27.1,50.0,0.0
2014-02-19 19:05:00,24.0,54.0,0.0,0,836.0,25.8,54.2,0.0
