,Temperature
Sheet,1010060340
Datetime,
2016-09-21 08:39:39,25.4
2016-09-21 09:39:39,26.1
2016-09-21 10:39:39,27.7
2016-09-21 11:39:39,28.3
2016-09-21 12:39:39,23.3
2016-09-22 01:39:39,26.3
2016-09-22 02:39:39,25.2
2016-09-22 03:39:39,24.7
2016-09-22 04:39:39,24.5
2016-09-22 05:39:39,23.4
2016-09-22 06:39:39,24.7
2016-09-22 07:39:39,26.4
2016-09-22 08:39:39,27.8
2016-09-22 09:39:39,29.4
2016-09-22 10:39:39,30.7
2016-09-22 11:39:39,31.3
2016-09-22 12:39:39,26.2
2016-09-23 01:39:39,28.3
2016-09-23 02:39:39,27.9
2016-09-23 03:39:39,27.5
2016-09-23 04:39:39,26.4
2016-09-23 05:39:39,25.8
2016-09-23 06:39:39,25.7
2016-09-23 07:39:39,25.2
2016-09-23 08:39:39,23.9
2016-09-23 09:39:39,24.3
2016-09-23 10:39:39,25.2
2016-09-23 11:39:39,26.4
2016-09-23 12:39:39,28.7
2016-09-24 01:39:39,24.2
2016-09-24 02:39:39,23.9
2016-09-24 03:39:39,24.2
2016-09-24 04:39:39,24.1
2016-09-24 05:39:39,23.9
2016-09-24 06:39:39,23.7
2016-09-24 07:39:39,24.4
2016-09-24 08:39:39,23.9
2016-09-24 09:39:39,24.2
2016-09-24 10:39:39,25.7
2016-09-24 11:39:39,26.4
2016-09-24 12:39:39,24.6
2016-09-25 01:39:39,24.9
2016-09-25 02:39:39,24.8
2016-09-25 03:39:39,24.5
2016-09-25 04:39:39,24.1
2016-09-25 05:39:39,24.2
2016-09-25 06:39:39,24.2
2016-09-25 07:39:39,24.4
2016-09-25 08:39:39,24.3
2016-09-25 09:39:39,24.6
2016-09-25 10:39:39,24.7
2016-09-25 11:39:39,25.6
2016-09-25 12:39:39,25.8
2016-09-26 01:39:39,23.4
2016-09-26 02:39:39,23.1
2016-09-26 03:39:39,23.1
2016-09-26 04:39:39,22.9
2016-09-26 05:39:39,22.4
2016-09-26 06:39:39,22.3
2016-09-26 07:39:39,22.4
2016-09-26 08:39:39,22.7
2016-09-26 09:39:39,22.7
2016-09-26 10:39:39,23.6
2016-09-26 11:39:39,24.4
2016-09-26 12:39:39,23.6
2016-09-27 01:39:39,23.3
2016-09-27 02:39:39,23.1
2016-09-27 03:39:39,22.8
2016-09-27 04:39:39,22.8
2016-09-27 05:39:39,22.3
2016-09-27 06:39:39,22.8
2016-09-27 07:39:39,24.4
2016-09-27 08:39:39,26.2
2016-09-27 09:39:39,26.8
2016-09-27 10:39:39,28.2
2016-09-27 11:39:39,29.1
2016-09-27 12:39:39,23.6
2016-09-28 01:39:39,27.0
2016-09-28 02:39:39,26.7
2016-09-28 03:39:39,26.5
2016-09-28 04:39:39,26.6
2016-09-28 05:39:39,26.3
2016-09-28 06:39:39,26.1
2016-09-28 07:39:39,27.5
2016-09-28 08:39:39,29.0
2016-09-28 09:39:39,30.3
2016-09-28 10:39:39,31.0
2016-09-28 11:39:39,31.8
2016-09-28 12:39:39,27.3
2016-09-29 01:39:39,25.9
2016-09-29 02:39:39,25.4
2016-09-29 03:39:39,24.8
2016-09-29 04:39:39,24.8
2016-09-29 05:39:39,24.3
2016-09-29 06:39:39,24.2
2016-09-29 07:39:39,23.9
2016-09-29 08:39:39,23.8
2016-09-29 09:39:39,23.7
2016-09-29 10:39:39,23.5
2016-09-29 11:39:39,24.1
2016-09-29 12:39:39,26.3
2016-09-30 01:39:39,22.9
2016-09-30 02:39:39,23.2
2016-09-30 03:39:39,23.2
2016-09-30 04:39:39,23.2
2016-09-30 05:39:39,23.2
2016-09-30 06:39:39,23.0
2016-09-30 07:39:39,23.1
2016-09-30 08:39:39,23.4
2016-09-30 09:39:39,23.8
2016-09-30 10:39:39,24.7
2016-09-30 11:39:39,26.3
2016-09-30 12:39:39,23.2
2016-10-01 01:39:39,25.6
2016-10-01 02:39:39,25.1
2016-10-01 03:39:39,24.7
2016-10-01 04:39:39,24.5
2016-10-01 05:39:39,24.1
2016-10-01 06:39:39,24.3
2016-10-01 07:39:39,25.1
2016-10-01 08:39:39,25.3
2016-10-01 09:39:39,25.8
2016-10-01 10:39:39,25.4
2016-10-01 11:39:39,24.8
2016-10-01 12:39:39,25.7
2016-10-02 01:39:39,24.5
2016-10-02 02:39:39,24.2
2016-10-02 03:39:39,24.0
2016-10-02 04:39:39,23.9
2016-10-02 05:39:39,23.7
2016-10-02 06:39:39,23.5
2016-10-02 07:39:39,23.8
2016-10-02 08:39:39,24.5
2016-10-02 09:39:39,24.4
2016-10-02 10:39:39,24.8
2016-10-02 11:39:39,24.8
2016-10-02 12:39:39,24.8
2016-10-03 01:39:39,20.8
2016-10-03 02:39:39,20.6
2016-10-03 03:39:39,20.3
2016-10-03 04:39:39,20.1
2016-10-03 05:39:39,20.0
2016-10-03 06:39:39,20.2
2016-10-03 07:39:39,20.4
2016-10-03 08:39:39,21.0
2016-10-03 09:39:39,22.5
2016-10-03 10:39:39,23.2
2016-10-03 11:39:39,23.8
2016-10-03 12:39:39,21.1
2016-10-04 01:39:39,20.0
2016-10-04 02:39:39,19.7
2016-10-04 03:39:39,19.4
2016-10-04 04:39:39,20.0
2016-10-04 05:39:39,19.9
2016-10-04 06:39:39,19.4
2016-10-04 07:39:39,21.0
2016-10-04 08:39:39,21.7
2016-10-04 09:39:39,22.4
2016-10-04 10:39:39,23.4
2016-10-04 11:39:39,23.9
2016-10-04 12:39:39,20.4
2016-10-05 01:39:39,21.2
2016-10-05 02:39:39,20.3
2016-10-05 03:39:39,19.4
2016-10-05 04:39:39,20.1
2016-10-05 05:39:39,19.9
2016-10-05 06:39:39,21.1
2016-10-05 07:39:39,22.6
2016-10-05 08:39:39,21.9
2016-10-05 09:39:39,22.8
2016-10-05 10:39:39,23.9
2016-10-05 11:39:39,23.9
2016-10-05 12:39:39,20.9
2016-10-06 01:39:39,22.7
2016-10-06 02:39:39,22.3
2016-10-06 03:39:39,21.5
2016-10-06 04:39:39,21.8
2016-10-06 05:39:39,21.4
2016-10-06 06:39:39,22.5
2016-10-06 07:39:39,24.4
2016-10-06 08:39:39,25.1
2016-10-06 09:39:39,26.0
2016-10-06 10:39:39,26.8
2016-10-06 11:39:39,27.8
2016-10-06 12:39:39,23.3
2016-10-07 01:39:39,26.4
2016-10-07 02:39:39,25.8
2016-10-07 03:39:39,25.4
2016-10-07 04:39:39,25.1
2016-10-07 05:39:39,24.7
2016-10-07 06:39:39,25.7
2016-10-07 07:39:39,28.2
2016-10-07 08:39:39,31.2
2016-10-07 09:39:39,32.9
2016-10-07 10:39:39,33.0
2016-10-07 11:39:39,33.2
2016-10-07 12:39:39,27.1
2016-10-08 01:39:39,25.2
2016-10-08 02:39:39,24.6
2016-10-08 03:39:39,24.3
2016-10-08 04:39:39,24.7
2016-10-08 05:39:39,24.2
2016-10-08 06:39:39,23.7
2016-10-08 07:39:39,23.9
2016-10-08 08:39:39,22.6
2016-10-08 09:39:39,24.2
2016-10-08 10:39:39,25.2
2016-10-08 11:39:39,25.8
2016-10-08 12:39:39,25.4
2016-10-09 01:39:39,26.2
2016-10-09 02:39:39,25.8
2016-10-09 03:39:39,25.7
2016-10-09 04:39:39,25.4
2016-10-09 05:39:39,25.2
2016-10-09 06:39:39,25.3
2016-10-09 07:39:39,25.6
2016-10-09 08:39:39,27.1
2016-10-09 09:39:39,28.5
2016-10-09 10:39:39,29.3
2016-10-09 11:39:39,28.9
2016-10-09 12:39:39,26.4
2016-10-10 01:39:39,24.1
2016-10-10 02:39:39,23.6
2016-10-10 03:39:39,23.6
2016-10-10 04:39:39,23.1
2016-10-10 05:39:39,22.6
2016-10-10 06:39:39,22.7
2016-10-10 07:39:39,22.2
2016-10-10 08:39:39,22.7
2016-10-10 09:39:39,23.0
2016-10-10 10:39:39,24.0
2016-10-10 11:39:39,25.4
2016-10-10 12:39:39,24.6
2016-10-11 01:39:39,24.4
2016-10-11 02:39:39,24.1
2016-10-11 03:39:39,23.8
2016-10-11 04:39:39,23.4
2016-10-11 05:39:39,23.4
2016-10-11 06:39:39,24.2
2016-10-11 07:39:39,26.4
2016-10-11 08:39:39,27.4
2016-10-11 09:39:39,28.4
2016-10-11 10:39:39,28.8
2016-10-11 11:39:39,29.8
2016-10-11 12:39:39,24.8
2016-10-12 01:39:39,28.7
2016-10-12 02:39:39,28.2
2016-10-12 03:39:39,27.6
2016-10-12 04:39:39,27.1
2016-10-12 05:39:39,26.7
2016-10-12 06:39:39,27.7
2016-10-12 07:39:39,29.7
2016-10-12 08:39:39,30.9
2016-10-12 09:39:39,32.5
2016-10-12 10:39:39,33.1
2016-10-12 11:39:39,33.8
2016-10-12 12:39:39,28.9
2016-10-13 01:39:39,25.3
2016-10-13 02:39:39,25.1
2016-10-13 03:39:39,24.7
2016-10-13 04:39:39,24.4
2016-10-13 05:39:39,24.4
2016-10-13 06:39:39,24.2
2016-10-13 07:39:39,24.1
2016-10-13 08:39:39,24.2
2016-10-13 09:39:39,25.2
2016-10-13 10:39:39,25.0
2016-10-13 11:39:39,25.8
2016-10-13 12:39:39,25.6
2016-10-14 01:39:39,23.3
2016-10-14 02:39:39,23.1
2016-10-14 03:39:39,22.6
2016-10-14 04:39:39,22.9
2016-10-14 05:39:39,22.4
2016-10-14 06:39:39,22.2
2016-10-14 07:39:39,22.3
