,Temperature
Sheet,1010060719
Datetime,
2016-09-06 01:58:25,33.6
2016-09-06 02:58:25,34.1
2016-09-06 03:58:25,33.8
2016-09-06 04:58:25,32.9
2016-09-06 05:58:25,31.6
2016-09-06 06:58:25,30.4
2016-09-06 07:58:25,29.7
2016-09-06 08:58:25,28.8
2016-09-06 09:58:25,28.0
2016-09-06 10:58:25,27.2
2016-09-06 11:58:25,33.9
2016-09-06 12:58:25,32.8
2016-09-07 01:58:25,25.8
2016-09-07 02:58:25,25.1
2016-09-07 03:58:25,24.6
2016-09-07 04:58:25,24.1
2016-09-07 05:58:25,23.6
2016-09-07 06:58:25,23.8
2016-09-07 07:58:25,25.0
2016-09-07 08:58:25,26.8
2016-09-07 09:58:25,28.7
2016-09-07 10:58:25,30.4
2016-09-07 11:58:25,32.1
2016-09-07 12:58:25,26.3
2016-09-08 01:58:25,26.5
2016-09-08 02:58:25,25.7
2016-09-08 03:58:25,24.7
2016-09-08 04:58:25,23.8
2016-09-08 05:58:25,23.2
2016-09-08 06:58:25,23.7
2016-09-08 07:58:25,25.0
2016-09-08 08:58:25,26.9
2016-09-08 09:58:25,28.8
2016-09-08 10:58:25,30.6
2016-09-08 11:58:25,32.1
2016-09-08 12:58:25,27.1
2016-09-09 01:58:25,26.6
2016-09-09 02:58:25,26.3
2016-09-09 03:58:25,25.8
2016-09-09 04:58:25,25.2
2016-09-09 05:58:25,24.6
2016-09-09 06:58:25,24.4
2016-09-09 07:58:25,24.7
2016-09-09 08:58:25,26.9
2016-09-09 09:58:25,28.8
2016-09-09 10:58:25,30.7
2016-09-09 11:58:25,32.4
2016-09-09 12:58:25,27.3
2016-09-10 01:58:25,27.9
2016-09-10 02:58:25,27.1
2016-09-10 03:58:25,26.4
2016-09-10 04:58:25,25.8
2016-09-10 05:58:25,25.3
2016-09-10 06:58:25,24.9
2016-09-10 07:58:25,24.8
2016-09-10 08:58:25,24.9
2016-09-10 09:58:25,25.2
2016-09-10 10:58:25,25.9
2016-09-10 11:58:25,27.0
2016-09-10 12:58:25,28.5
2016-09-11 01:58:25,23.4
2016-09-11 02:58:25,23.2
2016-09-11 03:58:25,22.9
2016-09-11 04:58:25,22.7
2016-09-11 05:58:25,22.5
2016-09-11 06:58:25,22.4
2016-09-11 07:58:25,22.7
2016-09-11 08:58:25,23.2
2016-09-11 09:58:25,23.9
2016-09-11 10:58:25,24.7
2016-09-11 11:58:25,26.1
2016-09-11 12:58:25,23.7
2016-09-12 01:58:25,23.6
2016-09-12 02:58:25,23.2
2016-09-12 03:58:25,22.8
2016-09-12 04:58:25,22.5
2016-09-12 05:58:25,21.9
2016-09-12 06:58:25,22.4
2016-09-12 07:58:25,22.9
2016-09-12 08:58:25,24.4
2016-09-12 09:58:25,25.8
2016-09-12 10:58:25,27.5
2016-09-12 11:58:25,29.1
2016-09-12 12:58:25,23.8
2016-09-13 01:58:25,24.4
2016-09-13 02:58:25,23.6
2016-09-13 03:58:25,22.6
2016-09-13 04:58:25,21.9
2016-09-13 05:58:25,21.3
2016-09-13 06:58:25,21.4
2016-09-13 07:58:25,22.9
2016-09-13 08:58:25,25.5
2016-09-13 09:58:25,27.7
2016-09-13 10:58:25,29.3
2016-09-13 11:58:25,30.8
2016-09-13 12:58:25,25.0
2016-09-14 01:58:25,24.2
2016-09-14 02:58:25,23.8
2016-09-14 03:58:25,23.5
2016-09-14 04:58:25,23.2
2016-09-14 05:58:25,23.1
2016-09-14 06:58:25,22.9
2016-09-14 07:58:25,23.1
2016-09-14 08:58:25,23.9
2016-09-14 09:58:25,24.6
2016-09-14 10:58:25,25.4
2016-09-14 11:58:25,26.8
2016-09-14 12:58:25,24.6
2016-09-15 01:58:25,22.3
2016-09-15 02:58:25,21.9
2016-09-15 03:58:25,22.0
2016-09-15 04:58:25,22.3
2016-09-15 05:58:25,22.5
2016-09-15 06:58:25,22.7
2016-09-15 07:58:25,22.9
2016-09-15 08:58:25,23.8
2016-09-15 09:58:25,25.7
2016-09-15 10:58:25,27.7
2016-09-15 11:58:25,29.1
2016-09-15 12:58:25,23.0
2016-09-16 01:58:25,24.8
2016-09-16 02:58:25,24.2
2016-09-16 03:58:25,23.6
2016-09-16 04:58:25,22.9
2016-09-16 05:58:25,22.4
2016-09-16 06:58:25,22.2
2016-09-16 07:58:25,23.4
2016-09-16 08:58:25,25.8
2016-09-16 09:58:25,27.8
2016-09-16 10:58:25,29.8
2016-09-16 11:58:25,31.4
2016-09-16 12:58:25,25.4
2016-09-17 01:58:25,27.1
2016-09-17 02:58:25,26.4
2016-09-17 03:58:25,25.9
2016-09-17 04:58:25,25.4
2016-09-17 05:58:25,24.9
2016-09-17 06:58:25,25.1
2016-09-17 07:58:25,26.5
2016-09-17 08:58:25,27.7
2016-09-17 09:58:25,29.0
2016-09-17 10:58:25,30.5
2016-09-17 11:58:25,31.7
2016-09-17 12:58:25,27.7
2016-09-18 01:58:25,24.1
2016-09-18 02:58:25,23.4
2016-09-18 03:58:25,23.1
2016-09-18 04:58:25,22.7
2016-09-18 05:58:25,22.3
2016-09-18 06:58:25,22.1
2016-09-18 07:58:25,21.8
2016-09-18 08:58:25,21.7
2016-09-18 09:58:25,21.3
2016-09-18 10:58:25,21.2
2016-09-18 11:58:25,21.0
2016-09-18 12:58:25,24.7
2016-09-19 01:58:25,18.1
2016-09-19 02:58:25,17.9
2016-09-19 03:58:25,17.8
2016-09-19 04:58:25,17.7
2016-09-19 05:58:25,17.6
2016-09-19 06:58:25,17.4
2016-09-19 07:58:25,17.6
2016-09-19 08:58:25,18.3
2016-09-19 09:58:25,19.0
2016-09-19 10:58:25,19.3
2016-09-19 11:58:25,19.4
2016-09-19 12:58:25,18.2
2016-09-20 01:58:25,19.3
2016-09-20 02:58:25,18.7
2016-09-20 03:58:25,18.7
2016-09-20 04:58:25,18.8
2016-09-20 05:58:25,18.9
2016-09-20 06:58:25,19.1
2016-09-20 07:58:25,19.8
2016-09-20 08:58:25,21.7
2016-09-20 09:58:25,23.4
2016-09-20 10:58:25,25.0
2016-09-20 11:58:25,26.3
2016-09-20 12:58:25,19.6
2016-09-21 01:58:25,22.1
2016-09-21 02:58:25,21.4
2016-09-21 03:58:25,20.8
2016-09-21 04:58:25,20.3
2016-09-21 05:58:25,19.9
2016-09-21 06:58:25,20.5
2016-09-21 07:58:25,21.9
2016-09-21 08:58:25,24.1
2016-09-21 09:58:25,26.0
2016-09-21 10:58:25,27.8
2016-09-21 11:58:25,29.3
2016-09-21 12:58:25,22.6
2016-09-22 01:58:25,25.1
2016-09-22 02:58:25,24.7
2016-09-22 03:58:25,23.8
2016-09-22 04:58:25,23.0
2016-09-22 05:58:25,22.4
2016-09-22 06:58:25,22.6
2016-09-22 07:58:25,24.1
2016-09-22 08:58:25,26.6
2016-09-22 09:58:25,28.8
2016-09-22 10:58:25,30.7
2016-09-22 11:58:25,32.4
2016-09-22 12:58:25,25.6
2016-09-23 01:58:25,27.8
2016-09-23 02:58:25,27.6
2016-09-23 03:58:25,27.1
2016-09-23 04:58:25,26.6
2016-09-23 05:58:25,26.3
2016-09-23 06:58:25,26.0
2016-09-23 07:58:25,25.6
2016-09-23 08:58:25,25.7
2016-09-23 09:58:25,26.3
2016-09-23 10:58:25,27.4
2016-09-23 11:58:25,29.2
2016-09-23 12:58:25,28.3
2016-09-24 01:58:25,24.6
2016-09-24 02:58:25,24.2
2016-09-24 03:58:25,24.0
2016-09-24 04:58:25,23.8
2016-09-24 05:58:25,23.7
2016-09-24 06:58:25,23.7
2016-09-24 07:58:25,24.0
2016-09-24 08:58:25,24.4
2016-09-24 09:58:25,25.3
2016-09-24 10:58:25,26.9
2016-09-24 11:58:25,28.0
2016-09-24 12:58:25,24.8
2016-09-25 01:58:25,24.6
2016-09-25 02:58:25,24.5
2016-09-25 03:58:25,24.3
2016-09-25 04:58:25,24.3
2016-09-25 05:58:25,24.3
2016-09-25 06:58:25,24.4
2016-09-25 07:58:25,24.6
2016-09-25 08:58:25,24.8
2016-09-25 09:58:25,25.0
2016-09-25 10:58:25,25.8
2016-09-25 11:58:25,26.5
2016-09-25 12:58:25,25.2
2016-09-26 01:58:25,23.6
2016-09-26 02:58:25,23.3
2016-09-26 03:58:25,23.0
2016-09-26 04:58:25,22.8
2016-09-26 05:58:25,22.5
2016-09-26 06:58:25,22.2
2016-09-26 07:58:25,22.0
2016-09-26 08:58:25,22.6
2016-09-26 09:58:25,23.0
2016-09-26 10:58:25,24.8
2016-09-26 11:58:25,25.6
2016-09-26 12:58:25,23.9
2016-09-27 01:58:25,22.5
2016-09-27 02:58:25,21.9
2016-09-27 03:58:25,21.6
2016-09-27 04:58:25,21.2
2016-09-27 05:58:25,20.8
2016-09-27 06:58:25,21.4
2016-09-27 07:58:25,22.7
2016-09-27 08:58:25,24.5
2016-09-27 09:58:25,26.2
2016-09-27 10:58:25,28.3
2016-09-27 11:58:25,30.1
2016-09-27 12:58:25,23.2
2016-09-28 01:58:25,26.6
2016-09-28 02:58:25,26.2
2016-09-28 03:58:25,26.1
2016-09-28 04:58:25,25.9
2016-09-28 05:58:25,25.7
2016-09-28 06:58:25,25.8
2016-09-28 07:58:25,26.8
2016-09-28 08:58:25,28.6
2016-09-28 09:58:25,30.5
2016-09-28 10:58:25,31.7
2016-09-28 11:58:25,32.8
2016-09-28 12:58:25,26.9
2016-09-29 01:58:25,26.6
2016-09-29 02:58:25,25.9
2016-09-29 03:58:25,25.5
2016-09-29 04:58:25,24.9
2016-09-29 05:58:25,24.6
2016-09-29 06:58:25,24.4
2016-09-29 07:58:25,24.6
2016-09-29 08:58:25,24.5
2016-09-29 09:58:25,24.5
2016-09-29 10:58:25,24.5
2016-09-29 11:58:25,24.7
2016-09-29 12:58:25,27.3
2016-09-30 01:58:25,22.7
2016-09-30 02:58:25,22.7
2016-09-30 03:58:25,22.6
2016-09-30 04:58:25,22.2
2016-09-30 05:58:25,22.2
2016-09-30 06:58:25,22.3
2016-09-30 07:58:25,22.7
2016-09-30 08:58:25,23.4
2016-09-30 09:58:25,24.4
2016-09-30 10:58:25,25.3
2016-09-30 11:58:25,27.0
2016-09-30 12:58:25,22.7
2016-10-01 01:58:25,25.4
2016-10-01 02:58:25,24.9
2016-10-01 03:58:25,24.8
2016-10-01 04:58:25,24.7
2016-10-01 05:58:25,24.4
2016-10-01 06:58:25,24.6
2016-10-01 07:58:25,25.4
2016-10-01 08:58:25,26.1
2016-10-01 09:58:25,26.5
2016-10-01 10:58:25,25.4
2016-10-01 11:58:25,26.2
2016-10-01 12:58:25,25.9
2016-10-02 01:58:25,23.4
